model,fold,family,feature_set,n_features,auc,brier,log_loss,n_train,n_test,test_weight_sum,selected_params,weighted_training,converged,elapsed_seconds,beverage_training_caps
hist_gradient_boosting__symptoms_diet,2,hist_gradient_boosting,symptoms_diet,38,0.648146971031848,0.2329718116132935,0.6580214743210946,4029,1007,2574325.41285038,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.243825708996155,{}
hist_gradient_boosting__symptoms_diet,3,hist_gradient_boosting,symptoms_diet,38,0.6540399182159372,0.23178749472690824,0.6556314277144062,4025,1011,2776332.157348156,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,6.735562707995996,{}
hist_gradient_boosting__symptoms_diet,4,hist_gradient_boosting,symptoms_diet,38,0.6550273793673611,0.23105544927105343,0.653694543863514,4029,1007,2777806.4952178,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.2527362079999875,{}
hist_gradient_boosting__symptoms_diet,5,hist_gradient_boosting,symptoms_diet,38,0.6302368889499095,0.23381337416327697,0.6589021591414689,4031,1005,2807410.1710247993,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,6.686447583997506,{}
hist_gradient_boosting__symptoms_diet_labels,1,hist_gradient_boosting,symptoms_diet_labels,44,0.6387677578872732,0.2380009395384365,0.6687174375361565,4030,1006,2861322.5562906265,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,8.171624083995994,{}
hist_gradient_boosting__symptoms_diet_labels,2,hist_gradient_boosting,symptoms_diet_labels,44,0.635628008640327,0.23786221855312278,0.6703233643815936,4029,1007,2574325.41285038,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 3}",True,True,7.1239662090010825,{}
hist_gradient_boosting__symptoms_diet_labels,3,hist_gradient_boosting,symptoms_diet_labels,44,0.6517890209253319,0.23231361705022038,0.6565117695331297,4025,1011,2776332.157348156,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.2173024590010755,{}
hist_gradient_boosting__symptoms_diet_labels,4,hist_gradient_boosting,symptoms_diet_labels,44,0.6530424028212968,0.23088296965735192,0.6532789582120421,4029,1007,2777806.4952178,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.71835487500357,{}
hist_gradient_boosting__symptoms_diet_labels,5,hist_gradient_boosting,symptoms_diet_labels,44,0.6244633616252628,0.23481088934809888,0.6610014550661601,4031,1005,2807410.1710247993,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.726863083000353,{}
spline_logistic__context_diet__winsor99,1,spline_logistic,context_diet,32,0.6305822155565706,0.2401334033159572,0.674877477392567,4030,1006,2861322.5562906265,"{""C"": 0.01}",True,True,0.5528755839986843,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 49.0, ""soda_frequency"": 7.0, ""soda_glasses_daily"": 49.909999999999854}"
spline_logistic__context_diet__winsor99,2,spline_logistic,context_diet,32,0.6627063419414249,0.2322995277115187,0.6566366628233582,4029,1007,2574325.41285038,"{""C"": 0.001}",True,True,0.6670649589941604,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 47.52000000000044, ""soda_frequency"": 8.0, ""soda_glasses_daily"": 53.22999999999956}"
spline_logistic__context_diet__winsor99,3,spline_logistic,context_diet,32,0.6350959508343852,0.23672240998529998,0.6658869910670321,4025,1011,2776332.157348156,"{""C"": 0.001}",True,True,0.6665560420005932,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 49.07999999999993, ""soda_frequency"": 8.0, ""soda_glasses_daily"": 55.679999999999836}"
spline_logistic__context_diet__winsor99,4,spline_logistic,context_diet,32,0.62829853773421,0.23558195852597993,0.6638965928561208,4029,1007,2777806.4952178,"{""C"": 0.001}",True,True,0.5890331670016167,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 55.90000000000009, ""soda_frequency"": 7.0, ""soda_glasses_daily"": 50.899999999999636}"
spline_logistic__context_diet__winsor99,5,spline_logistic,context_diet,32,0.5902317632196604,0.24435981813504973,0.6810409572050944,4031,1005,2807410.1710247993,"{""C"": 0.01}",True,True,0.5878975410014391,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 49.0, ""soda_frequency"": 7.0, ""soda_glasses_daily"": 53.08000000000038}"
spline_logistic__symptoms_diet__winsor99,1,spline_logistic,symptoms_diet,38,0.6438963541596283,0.23760377521098874,0.6690182164225695,4030,1006,2861322.5562906265,"{""C"": 0.01}",True,True,0.6439109159982763,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 49.0, ""soda_frequency"": 7.0, ""soda_glasses_daily"": 49.909999999999854}"
spline_logistic__symptoms_diet__winsor99,2,spline_logistic,symptoms_diet,38,0.6452951230396529,0.23321187253592818,0.6577512638250634,4029,1007,2574325.41285038,"{""C"": 0.01}",True,True,0.6679667499993229,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 47.52000000000044, ""soda_frequency"": 8.0, ""soda_glasses_daily"": 53.22999999999956}"
spline_logistic__symptoms_diet__winsor99,3,spline_logistic,symptoms_diet,38,0.6398362101958855,0.23507712093647043,0.6624169041980877,4025,1011,2776332.157348156,"{""C"": 0.001}",True,True,0.661307875001512,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 49.07999999999993, ""soda_frequency"": 8.0, ""soda_glasses_daily"": 55.679999999999836}"
spline_logistic__symptoms_diet__winsor99,4,spline_logistic,symptoms_diet,38,0.6466311559329708,0.23315405620655624,0.6588795135642993,4029,1007,2777806.4952178,"{""C"": 0.001}",True,True,0.6530601249978645,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 55.90000000000009, ""soda_frequency"": 7.0, ""soda_glasses_daily"": 50.899999999999636}"
spline_logistic__symptoms_diet__winsor99,5,spline_logistic,symptoms_diet,38,0.6228462114196822,0.23680768818767212,0.6653448691301361,4031,1005,2807410.1710247993,"{""C"": 0.01}",True,True,0.660932207996666,"{""juice_frequency"": 7.0, ""juice_glasses_daily"": 49.0, ""soda_frequency"": 7.0, ""soda_glasses_daily"": 53.08000000000038}"
