bin,n,predicted,observed,model
"(0.55, 0.584]",504,0.5668532957050898,0.48341055385843473,hist_gradient_boosting__context
"(0.584, 0.621]",503,0.6023203534483773,0.6286264896250939,hist_gradient_boosting__context
"(0.621, 0.66]",504,0.640343973461782,0.5790892171190115,hist_gradient_boosting__context
"(0.66, 0.716]",503,0.687463994895865,0.7630400762784023,hist_gradient_boosting__context
"(0.716, 0.908]",504,0.7690686575303733,0.7421137486045092,hist_gradient_boosting__context
"(0.223, 0.399]",504,0.3579812260548862,0.43367165779667366,hist_gradient_boosting__context_diet
"(0.399, 0.446]",504,0.42310262439725527,0.4362934461626171,hist_gradient_boosting__context_diet
"(0.446, 0.484]",503,0.4667067730951572,0.4259204781897682,hist_gradient_boosting__context_diet
"(0.484, 0.518]",504,0.5018074396349885,0.5226019404770956,hist_gradient_boosting__context_diet
"(0.518, 0.551]",503,0.5351285954714661,0.545771389153456,hist_gradient_boosting__context_diet
"(0.551, 0.585]",504,0.5686525319871151,0.4457007298056417,hist_gradient_boosting__context_diet
"(0.585, 0.619]",503,0.6014684870116171,0.626301610452673,hist_gradient_boosting__context_diet
"(0.619, 0.659]",504,0.636686501927641,0.5854338118541181,hist_gradient_boosting__context_diet
"(0.659, 0.711]",503,0.685186253327217,0.7392849726844133,hist_gradient_boosting__context_diet
"(0.711, 0.88]",504,0.7597246589458211,0.7369699227500439,hist_gradient_boosting__context_diet
"(0.217, 0.397]",504,0.35217070675833756,0.47164128468355027,hist_gradient_boosting__context_diet_labels
"(0.397, 0.444]",504,0.42269203038685965,0.44666380173713643,hist_gradient_boosting__context_diet_labels
"(0.444, 0.482]",503,0.46431408157432924,0.41636598111019785,hist_gradient_boosting__context_diet_labels
"(0.482, 0.519]",504,0.5015209073015829,0.49934318439653785,hist_gradient_boosting__context_diet_labels
"(0.519, 0.552]",503,0.5349585706668006,0.5594572740582929,hist_gradient_boosting__context_diet_labels
"(0.552, 0.585]",504,0.569708250680674,0.4949794055849814,hist_gradient_boosting__context_diet_labels
"(0.585, 0.618]",503,0.6015283118169242,0.4867952189373039,hist_gradient_boosting__context_diet_labels
"(0.618, 0.658]",504,0.6371623510040504,0.6299788755933561,hist_gradient_boosting__context_diet_labels
"(0.658, 0.71]",503,0.6816258713436165,0.7109990105768574,hist_gradient_boosting__context_diet_labels
"(0.71, 0.879]",504,0.7624218571649817,0.7770480772303598,hist_gradient_boosting__context_diet_labels
"(0.181, 0.376]",504,0.3360612517916126,0.40612347456308556,hist_gradient_boosting__symptoms
"(0.376, 0.429]",504,0.4034669794723173,0.3932584198002579,hist_gradient_boosting__symptoms
"(0.429, 0.471]",503,0.44970676031759044,0.43087921111211,hist_gradient_boosting__symptoms
"(0.471, 0.507]",504,0.4887800745293063,0.47954245189790967,hist_gradient_boosting__symptoms
"(0.507, 0.546]",503,0.5269996410652288,0.4833510231057896,hist_gradient_boosting__symptoms
"(0.546, 0.585]",504,0.5650805323767422,0.5479102164561204,hist_gradient_boosting__symptoms
"(0.585, 0.628]",503,0.60501205294177,0.5592300932758731,hist_gradient_boosting__symptoms
"(0.628, 0.671]",505,0.6493408730708583,0.693626876225032,hist_gradient_boosting__symptoms
"(0.671, 0.725]",502,0.6991079721310414,0.7279813032029286,hist_gradient_boosting__symptoms
"(0.725, 0.912]",504,0.7757249331158248,0.7658850763732493,hist_gradient_boosting__symptoms
"(0.205, 0.382]",504,0.34058091185020306,0.4107780077674125,hist_gradient_boosting__symptoms_diet
"(0.382, 0.43]",504,0.4074645876850844,0.4015460796134006,hist_gradient_boosting__symptoms_diet
"(0.43, 0.47]",503,0.4503956788320497,0.43298159572516726,hist_gradient_boosting__symptoms_diet
"(0.47, 0.509]",504,0.4908754319675651,0.4581117526679257,hist_gradient_boosting__symptoms_diet
"(0.509, 0.548]",503,0.5278720767857222,0.4713994742121171,hist_gradient_boosting__symptoms_diet
"(0.548, 0.587]",504,0.5677139021443325,0.6197148616248291,hist_gradient_boosting__symptoms_diet
"(0.587, 0.627]",503,0.6068070506450374,0.6411524931300642,hist_gradient_boosting__symptoms_diet
"(0.627, 0.668]",504,0.6469364813617211,0.6201753165340694,hist_gradient_boosting__symptoms_diet
"(0.668, 0.721]",503,0.6947011581035467,0.6574935690290533,hist_gradient_boosting__symptoms_diet
"(0.721, 0.889]",504,0.7682959707270687,0.7840077925843759,hist_gradient_boosting__symptoms_diet
"(0.212, 0.382]",504,0.33057058539574546,0.40949668044422477,hist_gradient_boosting__symptoms_diet_labels
"(0.382, 0.428]",504,0.4051921586223499,0.42187043252952355,hist_gradient_boosting__symptoms_diet_labels
"(0.428, 0.471]",503,0.44967534972217427,0.4325980585872493,hist_gradient_boosting__symptoms_diet_labels
"(0.471, 0.511]",504,0.4924763614494079,0.445441348463907,hist_gradient_boosting__symptoms_diet_labels
"(0.511, 0.551]",503,0.5317232148992546,0.5533928656759004,hist_gradient_boosting__symptoms_diet_labels
"(0.551, 0.588]",504,0.5678543592347334,0.5425941092968517,hist_gradient_boosting__symptoms_diet_labels
"(0.588, 0.627]",503,0.6086210181208643,0.6292758490808041,hist_gradient_boosting__symptoms_diet_labels
"(0.627, 0.67]",504,0.6494047139998972,0.624607839036356,hist_gradient_boosting__symptoms_diet_labels
"(0.67, 0.723]",503,0.6950232578005082,0.6616658242698409,hist_gradient_boosting__symptoms_diet_labels
"(0.723, 0.922]",504,0.7750100948967532,0.7778099264231059,hist_gradient_boosting__symptoms_diet_labels
"(0.10099999999999999, 0.418]",504,0.3623610842096134,0.4084060867666033,spline_logistic__context_diet__winsor99
"(0.418, 0.466]",504,0.44295933996512904,0.432282926879924,spline_logistic__context_diet__winsor99
"(0.466, 0.504]",503,0.4851771791035916,0.503288683426017,spline_logistic__context_diet__winsor99
"(0.504, 0.533]",504,0.5186803520320307,0.43615202020067384,spline_logistic__context_diet__winsor99
"(0.533, 0.556]",503,0.5450738305966345,0.5062031763750259,spline_logistic__context_diet__winsor99
"(0.556, 0.58]",504,0.5687486313740255,0.5620935591747622,spline_logistic__context_diet__winsor99
"(0.58, 0.605]",503,0.59350575233351,0.6128485178476106,spline_logistic__context_diet__winsor99
"(0.605, 0.636]",504,0.6202085070458916,0.6569974015529721,spline_logistic__context_diet__winsor99
"(0.636, 0.679]",503,0.655598034496878,0.6562870327035887,spline_logistic__context_diet__winsor99
"(0.679, 0.914]",504,0.7401287323406975,0.752211300882377,spline_logistic__context_diet__winsor99
"(0.111, 0.389]",504,0.3314960824966214,0.3987820501599497,spline_logistic__symptoms_diet__winsor99
"(0.389, 0.446]",504,0.41824338590175525,0.38892112111648974,spline_logistic__symptoms_diet__winsor99
"(0.446, 0.486]",503,0.46586149345165706,0.5030815032845243,spline_logistic__symptoms_diet__winsor99
"(0.486, 0.52]",504,0.5033403974851565,0.4589408919180747,spline_logistic__symptoms_diet__winsor99
"(0.52, 0.553]",503,0.5360204166785837,0.49529395302986706,spline_logistic__symptoms_diet__winsor99
"(0.553, 0.584]",504,0.5702476550312657,0.5790153133982364,spline_logistic__symptoms_diet__winsor99
"(0.584, 0.616]",503,0.601815281831508,0.5988436106868122,spline_logistic__symptoms_diet__winsor99
"(0.616, 0.655]",504,0.634356034843781,0.6739554387957316,spline_logistic__symptoms_diet__winsor99
"(0.655, 0.709]",503,0.6788883924304041,0.6639134468477698,spline_logistic__symptoms_diet__winsor99
"(0.709, 0.935]",504,0.7699608932428424,0.7333542871379906,spline_logistic__symptoms_diet__winsor99
