model,fold,candidate,params,inner_weighted_log_loss,inner_fold_log_losses,selected
spline_logistic__context,2,1,"{""C"": 0.001}",0.6736522280015023,"[0.6841077259037363, 0.6649222071617341, 0.6714065435567143]",False
spline_logistic__context,2,2,"{""C"": 0.01}",0.6631373399030788,"[0.6841812066794346, 0.6508440979693265, 0.6541755685964309]",True
spline_logistic__context,2,3,"{""C"": 0.1}",0.6710103399056695,"[0.6923335331989662, 0.658600909735988, 0.6618900693012173]",False
spline_logistic__context,2,4,"{""C"": 1.0}",0.6802456013782121,"[0.6994829350028685, 0.6670117906428525, 0.6737329518996268]",False
spline_logistic__context,2,5,"{""C"": 10.0}",0.6829662918164148,"[0.7006456305527392, 0.6704101354883237, 0.6773127949568685]",False
spline_logistic__context,3,0,"{""C"": 0.0001}",0.6823212106296878,"[0.680257160395191, 0.6881489707654405, 0.6783333615135059]",False
spline_logistic__context,3,1,"{""C"": 0.001}",0.6678722151952331,"[0.6665759230211746, 0.6743143678319347, 0.6623086829853688]",False
spline_logistic__context,3,2,"{""C"": 0.01}",0.6587339408133477,"[0.6579258433279671, 0.6644510040106104, 0.6533952936366161]",True
spline_logistic__context,3,3,"{""C"": 0.1}",0.6682840887267772,"[0.6683620178179495, 0.6699010801957068, 0.66641479199066]",False
spline_logistic__context,3,4,"{""C"": 1.0}",0.6782839035472884,"[0.6773220048921472, 0.6799374377213143, 0.6775935489283995]",False
spline_logistic__context,3,5,"{""C"": 10.0}",0.680861174102941,"[0.6795775615731331, 0.6828857467079473, 0.6801400375776407]",False
spline_logistic__context,4,0,"{""C"": 0.0001}",0.684964118335188,"[0.6821985820264265, 0.6834892046377544, 0.6890837612865623]",False
spline_logistic__context,4,1,"{""C"": 0.001}",0.6715871619305566,"[0.6670284393485136, 0.6711251554959913, 0.676494565348468]",False
spline_logistic__context,4,2,"{""C"": 0.01}",0.6650686786413852,"[0.6616992759376079, 0.6651130210601321, 0.6683267913175078]",True
spline_logistic__context,4,3,"{""C"": 0.1}",0.6816056538702404,"[0.6809691105636381, 0.679513433824251, 0.6842302325057676]",False
spline_logistic__context,4,4,"{""C"": 1.0}",0.6969100901558463,"[0.6971647829378154, 0.6918438033562309, 0.7015061188174901]",False
spline_logistic__context,4,5,"{""C"": 10.0}",0.7008206600076016,"[0.7026899578195155, 0.6946908852001538, 0.7048522353556308]",False
spline_logistic__context,5,0,"{""C"": 0.0001}",0.682597198178454,"[0.6853939538673649, 0.6833396396201673, 0.6790153412301805]",False
spline_logistic__context,5,1,"{""C"": 0.001}",0.6661376819701775,"[0.6691141732340542, 0.668318984332952, 0.6610797342062862]",False
spline_logistic__context,5,2,"{""C"": 0.01}",0.6570106786830459,"[0.6606223632617271, 0.6552078585533366, 0.6548583905810308]",True
spline_logistic__context,5,3,"{""C"": 0.1}",0.670124098915936,"[0.6778557830260881, 0.6561384395757556, 0.6745856250078653]",False
spline_logistic__context,5,4,"{""C"": 1.0}",0.6828538571357151,"[0.6924067702781443, 0.663107377152266, 0.6905752393489201]",False
spline_logistic__context,5,5,"{""C"": 10.0}",0.6867535078849537,"[0.696847154752014, 0.6672061673097622, 0.6937325733876567]",False
spline_logistic__context_diet,1,0,"{""C"": 0.0001}",0.6813468950595636,"[0.6813566564207514, 0.6805825055053247, 0.6820984483451218]",False
spline_logistic__context_diet,1,1,"{""C"": 0.001}",0.6673914037699633,"[0.6674844784900595, 0.6683097161812189, 0.6663764071701168]",False
spline_logistic__context_diet,1,2,"{""C"": 0.01}",0.6653239748964471,"[0.6664552163440145, 0.6646111898338416, 0.6648244500627611]",True
spline_logistic__context_diet,1,3,"{""C"": 0.1}",0.6817227064048047,"[0.6778404023206078, 0.6773829239982164, 0.6902017526271625]",False
spline_logistic__context_diet,1,4,"{""C"": 1.0}",0.6956741660334488,"[0.6853080754379522, 0.6919078637132706, 0.7105171660462488]",False
spline_logistic__context_diet,1,5,"{""C"": 10.0}",0.6996392416403933,"[0.6885192905333068, 0.6966569202814408, 0.7145071132637292]",False
spline_logistic__context_diet,2,0,"{""C"": 0.0001}",0.6844821885730992,"[0.6857954025332206, 0.6793135307871235, 0.6876273522872678]",False
spline_logistic__context_diet,2,1,"{""C"": 0.001}",0.6740585572174354,"[0.6856535162303617, 0.6633986675592887, 0.6723916215470838]",True
spline_logistic__context_diet,2,2,"{""C"": 0.01}",0.6747520196694043,"[0.7013676841179014, 0.6568847732565716, 0.6653692525923393]",False
spline_logistic__context_diet,2,3,"{""C"": 0.1}",0.6950430467730407,"[0.7213484634553466, 0.6755592586578433, 0.6873054530152898]",False
spline_logistic__context_diet,2,4,"{""C"": 1.0}",0.7093296981627956,"[0.730147971467866, 0.6897610808427624, 0.706698026728153]",False
spline_logistic__context_diet,2,5,"{""C"": 10.0}",0.7140813676125655,"[0.7324234851354161, 0.6950918087187786, 0.7132342543576593]",False
spline_logistic__context_diet,3,0,"{""C"": 0.0001}",0.6821445000534359,"[0.679822515545066, 0.6880320035844931, 0.6783933703388172]",False
spline_logistic__context_diet,3,1,"{""C"": 0.001}",0.6696305345986023,"[0.6661281188037877, 0.6771411390225355, 0.6654787260833118]",True
spline_logistic__context_diet,3,2,"{""C"": 0.01}",0.6742205166338244,"[0.6660215305084998, 0.6858328888818358, 0.6710650763877036]",False
