comparison,model,reference,metric,difference,ci_low,ci_high,contrast_id,family,unoriented_difference,direction,role,relative_loss_reduction_percent
Diet beyond context,hist_gradient_boosting__context_diet,hist_gradient_boosting__context,auc,-0.006883220029894499,-0.016685548678738112,0.00357142917893366,diet_context,hist_gradient_boosting,-0.006883220029894499,Positive favours added variables or sensitivity,secondary_exploratory,
Diet beyond context,hist_gradient_boosting__context_diet,hist_gradient_boosting__context,brier,-0.001662231278877796,-0.0036583208147612342,0.0004072475085086541,diet_context,hist_gradient_boosting,0.001662231278877796,Positive favours added variables or sensitivity,secondary_exploratory,-0.7069908869158652
Diet beyond context,hist_gradient_boosting__context_diet,hist_gradient_boosting__context,log_loss,-0.003606479971970944,-0.007829631260480191,0.0006632456867175174,diet_context,hist_gradient_boosting,0.003606479971970944,Positive favours added variables or sensitivity,secondary_exploratory,-0.5446694747756324
Diet beyond context and symptoms,hist_gradient_boosting__symptoms_diet,hist_gradient_boosting__symptoms,auc,-0.006053156280614869,-0.014827068259849323,0.0028425005123787843,diet_symptoms,hist_gradient_boosting,-0.006053156280614869,Positive favours added variables or sensitivity,secondary_exploratory,
Diet beyond context and symptoms,hist_gradient_boosting__symptoms_diet,hist_gradient_boosting__symptoms,brier,-0.0014313517175554846,-0.0033434287096849305,0.00041477306312168866,diet_symptoms,hist_gradient_boosting,0.0014313517175554846,Positive favours added variables or sensitivity,secondary_exploratory,-0.6178046720717617
Diet beyond context and symptoms,hist_gradient_boosting__symptoms_diet,hist_gradient_boosting__symptoms,log_loss,-0.0031923887558549247,-0.007205689346795509,0.000693785690465773,diet_symptoms,hist_gradient_boosting,0.0031923887558549247,Positive favours added variables or sensitivity,secondary_exploratory,-0.48742419136367016
Label behaviours beyond context and diet,hist_gradient_boosting__context_diet_labels,hist_gradient_boosting__context_diet,auc,-0.011344689271472808,-0.018737772571390265,-0.00513739260447861,labels_context,hist_gradient_boosting,-0.011344689271472808,Positive favours added variables or sensitivity,secondary_exploratory,
Label behaviours beyond context and diet,hist_gradient_boosting__context_diet_labels,hist_gradient_boosting__context_diet,brier,-0.0023027898794527046,-0.003683362704778461,-0.0011226210406740183,labels_context,hist_gradient_boosting,0.0023027898794527046,Positive favours added variables or sensitivity,secondary_exploratory,-0.9725614653970421
Label behaviours beyond context and diet,hist_gradient_boosting__context_diet_labels,hist_gradient_boosting__context_diet,log_loss,-0.0047671465959154835,-0.007577078126879294,-0.002312300785654284,labels_context,hist_gradient_boosting,0.0047671465959154835,Positive favours added variables or sensitivity,secondary_exploratory,-0.7160592647931578
Label behaviours beyond symptoms and diet,hist_gradient_boosting__symptoms_diet_labels,hist_gradient_boosting__symptoms_diet,auc,-0.006118191833423325,-0.011708630595519154,-0.000835163437675814,labels_symptoms,hist_gradient_boosting,-0.006118191833423325,Positive favours added variables or sensitivity,secondary_exploratory,
Label behaviours beyond symptoms and diet,hist_gradient_boosting__symptoms_diet_labels,hist_gradient_boosting__symptoms_diet,brier,-0.0016335687607950122,-0.0029322208716010844,-0.00043918180436815224,labels_symptoms,hist_gradient_boosting,0.0016335687607950122,Positive favours added variables or sensitivity,secondary_exploratory,-0.7007569392180636
Label behaviours beyond symptoms and diet,hist_gradient_boosting__symptoms_diet_labels,hist_gradient_boosting__symptoms_diet,log_loss,-0.0037395146389127554,-0.006585001721118613,-0.0010454715788261071,labels_symptoms,hist_gradient_boosting,0.0037395146389127554,Positive favours added variables or sensitivity,secondary_exploratory,-0.5681916289037853
Expanded context beyond basic,hist_gradient_boosting__context,hist_gradient_boosting__basic,auc,0.01494876218405361,-0.0028022520336767527,0.03353571825875689,context_basic,hist_gradient_boosting,0.01494876218405361,Positive favours added variables or sensitivity,secondary_exploratory,
Expanded context beyond basic,hist_gradient_boosting__context,hist_gradient_boosting__basic,brier,0.002912989485841899,-0.0006599850854788277,0.006682699737144629,context_basic,hist_gradient_boosting,-0.002912989485841899,Positive favours added variables or sensitivity,secondary_exploratory,1.2238087626823961
Expanded context beyond basic,hist_gradient_boosting__context,hist_gradient_boosting__basic,log_loss,0.006410864212152312,-0.0012536806187710941,0.014279973059577084,context_basic,hist_gradient_boosting,-0.006410864212152312,Positive favours added variables or sensitivity,secondary_exploratory,0.9589179898970067
