model,fold,block,n_features,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic__context_diet_labels,3,labels,6,1,0.0010197126359655362,-0.0004024947409593249,1011,2776332.157348156
spline_logistic__context_diet_labels,3,labels,6,2,-6.424087766890296e-05,-0.002282420322371137,1011,2776332.157348156
spline_logistic__context_diet_labels,3,labels,6,3,0.00022868318222740713,-0.000731914478589335,1011,2776332.157348156
spline_logistic__context_diet_labels,3,labels,6,4,0.0020777005579317998,0.008369419383078669,1011,2776332.157348156
spline_logistic__context_diet_labels,3,labels,6,5,0.0012369881218300405,0.001967648994685489,1011,2776332.157348156
spline_logistic__context_diet_labels,4,context,17,1,0.016694820413880346,0.12293251966409369,1007,2777806.4952178
spline_logistic__context_diet_labels,4,context,17,2,0.011486885959724719,0.09771116675170088,1007,2777806.4952178
spline_logistic__context_diet_labels,4,context,17,3,0.009738978349829758,0.08262697143599051,1007,2777806.4952178
spline_logistic__context_diet_labels,4,context,17,4,0.014579426051085309,0.11054153220038831,1007,2777806.4952178
spline_logistic__context_diet_labels,4,context,17,5,0.01984021828012919,0.16213342774579176,1007,2777806.4952178
spline_logistic__context_diet_labels,4,diet,15,1,-0.0015410802979488325,-0.0007096646509702209,1007,2777806.4952178
spline_logistic__context_diet_labels,4,diet,15,2,-0.002487441356111092,-0.009153623594605587,1007,2777806.4952178
spline_logistic__context_diet_labels,4,diet,15,3,-0.003927383029978054,-0.020820213146290123,1007,2777806.4952178
spline_logistic__context_diet_labels,4,diet,15,4,-0.00045204849246982537,0.005548239629116103,1007,2777806.4952178
spline_logistic__context_diet_labels,4,diet,15,5,0.002064008190963612,0.02017908051029138,1007,2777806.4952178
spline_logistic__context_diet_labels,4,labels,6,1,0.0012401213003264688,0.00733327255869598,1007,2777806.4952178
spline_logistic__context_diet_labels,4,labels,6,2,0.00015994772935640222,-0.0006437293482964845,1007,2777806.4952178
spline_logistic__context_diet_labels,4,labels,6,3,0.0002416412255200895,0.00018390188726591372,1007,2777806.4952178
spline_logistic__context_diet_labels,4,labels,6,4,0.000352266970699483,-0.00014485221193816233,1007,2777806.4952178
spline_logistic__context_diet_labels,4,labels,6,5,0.00022687570666565793,0.00032908969162803725,1007,2777806.4952178
spline_logistic__context_diet_labels,5,context,17,1,0.0033637919501629254,0.012769713025172602,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,context,17,2,0.02042312816332023,0.08357484605956689,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,context,17,3,0.022951909010985067,0.0955671198906135,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,context,17,4,0.025488758304677145,0.09612974511584865,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,context,17,5,0.021615284081884928,0.07599594460492598,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,diet,15,1,0.0012077276017785354,0.005368383440235047,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,diet,15,2,0.004024103577344701,0.02140567760028611,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,diet,15,3,0.00077293398228373,0.012231860419996576,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,diet,15,4,-0.0010921804801960755,0.0021582140964054863,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,diet,15,5,0.00110182554072899,0.011163851849934181,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,labels,6,1,-0.0003220777633581584,-0.0023600962442934525,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,labels,6,2,-0.0022237768740114017,-0.009432993321905059,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,labels,6,3,-0.0010773402908151042,-0.002232116701077147,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,labels,6,4,0.000666772643013569,0.0050064449962440305,1005,2807410.1710247993
spline_logistic__context_diet_labels,5,labels,6,5,-0.0023813176912930445,-0.008021201058931893,1005,2807410.1710247993
spline_logistic__symptoms_diet_labels,1,context,17,1,0.02202287967166719,0.10234499373239425,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,context,17,2,0.026500782047004096,0.12278078370388268,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,context,17,3,0.024026939957521226,0.10496268756967475,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,context,17,4,0.026444689650330783,0.11509911655889238,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,context,17,5,0.027243590517040256,0.11892775015786972,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,diet,15,1,-0.006737283188469501,-0.023581025629750174,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,diet,15,2,-0.004751689262423142,-0.018425244255734774,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,diet,15,3,-0.0021040036473181645,0.0004928786216928938,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,diet,15,4,-0.00265930339297199,-0.0019618937572660755,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,diet,15,5,-0.0009292823687593044,0.006198150557682358,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,labels,6,1,-0.004059886922701983,-0.017518960851974463,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,labels,6,2,0.002472524453261321,0.01284795296341934,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,labels,6,3,-0.00251249639386128,-0.012845489910291441,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,labels,6,4,-0.00411531815590957,-0.015619131517732532,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,labels,6,5,-0.004104766360753853,-0.014773142135697914,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,symptoms,6,1,0.008995076156053744,0.03739159632770783,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,symptoms,6,2,0.0037743143675619817,0.018970457844368127,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,symptoms,6,3,0.009370322791117852,0.038579373913536386,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,symptoms,6,4,0.003980051106862115,0.01513204169056781,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,1,symptoms,6,5,0.001889857340759693,0.00498569667114801,1006,2861322.5562906265
spline_logistic__symptoms_diet_labels,2,context,17,1,0.016486270320778706,0.11857339383362597,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,context,17,2,0.019091498647872962,0.1320412741798591,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,context,17,3,0.016687451112396195,0.10568567672636409,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,context,17,4,0.018308484521142004,0.11874577161298594,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,context,17,5,0.014022790833504606,0.09451449271087586,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,diet,15,1,0.0024071820855413595,0.006352887146445885,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,diet,15,2,0.0031050681907707767,0.010640939231765345,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,diet,15,3,-7.748866374002183e-05,-0.003867221528946585,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,diet,15,4,-0.0010519534660873575,-0.0165552045171089,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,diet,15,5,-0.0004342935362804945,-0.008678488751980074,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,labels,6,1,0.000859299225955179,0.0023211915610065192,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,labels,6,2,0.0006710722888953191,-0.002767636642746707,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,labels,6,3,-0.0004924959081363811,-0.011758154800131315,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,labels,6,4,0.0009200849177317671,0.0031494232602897743,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,labels,6,5,0.001598596477852654,0.00598763533523905,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,symptoms,6,1,0.0014930894836927555,0.0018814781924743063,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,symptoms,6,2,0.0026302159302526718,0.011381557435147904,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,symptoms,6,3,0.0057384854977486355,0.03382774328295546,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,symptoms,6,4,0.0022245361550170817,0.0075026929767039174,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,2,symptoms,6,5,0.0009675644263946459,-0.00034658454575786646,1007,2574325.41285038
spline_logistic__symptoms_diet_labels,3,context,17,1,0.011939964627104699,0.06346550241256388,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,context,17,2,0.009603928839482606,0.050809638844108274,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,context,17,3,0.017268730568406693,0.11047007465434089,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,context,17,4,0.009481919900066721,0.04951184757705873,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,context,17,5,0.01735521017897304,0.11051634244391784,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,diet,15,1,0.0017373824617104294,0.0037121464496717715,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,diet,15,2,0.002337712552271193,0.008016904233332345,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,diet,15,3,0.005560708950684112,0.03055527666411828,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,diet,15,4,0.0010982107695837184,-0.0005753570605456781,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,diet,15,5,0.002835402686620331,0.013390298717853244,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,labels,6,1,0.000935883123411918,0.0026563515185041853,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,labels,6,2,-0.00011929846559613488,-0.002498933028889039,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,labels,6,3,0.00017687158527618374,-0.001537700463702274,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,labels,6,4,0.0019586668152644926,0.006747164322160493,1011,2776332.157348156
