model,variable,level,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status
spline_logistic__symptoms,education,Low,1008,606,0.6019000500203198,0.6595469982404942,0.7345160414582123,0.2231713394705695,0.6368043842886144,0.8358505700382719,0.2714177770829363,0.6343067180160245,0.5223585238093713,0.6111499033958616,0.5536341735606041,0.6070119976975816,-0.02293863015296858,1.0117270928086195,-0.02777874774651993,Estimated
spline_logistic__symptoms_diet,sex,Female,3125,1579,0.5080101397128755,0.6132098970885389,0.6062285374913072,0.24109616746829443,0.6755089107052885,0.6434011154994412,0.5251637297597862,0.5831800451872499,0.5878429132267493,0.5852295206086735,0.5842824226296137,0.5196513931007902,-0.049633433354976504,0.7705747569910493,-0.03139784032362691,Estimated
spline_logistic__symptoms_diet,sex,Male,1911,1110,0.5843928095576381,0.642771340566323,0.7102553865074623,0.22927311593322444,0.6499840197014172,0.7641588664534428,0.39781175670898195,0.6408461191842191,0.5453717671827192,0.6119023734458678,0.5809853115812124,0.5763260021675931,0.035439877595104474,0.9212301455316015,0.05729423817794985,Estimated
spline_logistic__symptoms_diet,age_group,15–24,729,280,0.40858932174513063,0.5630571769715389,0.4807977190413158,0.24085330743810157,0.6752007302050589,0.28358484211770946,0.8167822897983638,0.5167527546073998,0.6226738352091217,0.5989235062942904,0.5501835659580366,0.43634219807965396,-0.1187267481094441,0.558306929043788,-0.2266598278383545,Estimated
spline_logistic__symptoms_diet,age_group,25–44,1569,828,0.5706988102525066,0.5903527380516935,0.6471245946461106,0.24155976316295685,0.6767321182238966,0.6722815925928451,0.443892371584271,0.6164289703576766,0.5046810019406427,0.574233828288361,0.5580869820885581,0.5489850260529487,0.09371406770344619,0.6051834832591375,0.16326184265155308,Estimated
spline_logistic__symptoms_diet,age_group,45–64,1759,1034,0.5956123883526976,0.641934912008753,0.7225762979850041,0.22759066701621697,0.6459654667968,0.8944829456415695,0.21199587911792878,0.6257340419381826,0.5770019302949919,0.6184936308299008,0.5532394123797492,0.6110252198769396,-0.06770001441495722,1.0883072936996392,-0.10561793378745775,Estimated
spline_logistic__symptoms_diet,age_group,65+,979,547,0.572307948438002,0.6826858391561855,0.7401672380652382,0.22228463161845177,0.634790505126696,0.8507087469961504,0.33903439959398185,0.6326591886734204,0.6292332072772774,0.6318696956240705,0.5948715732950661,0.5721091507493483,0.0008558332153975712,1.4867483267953832,-0.12902109414048554,Estimated
spline_logistic__symptoms_diet,rural,Rural,760,431,0.5786100342788364,0.6206581801669346,0.6484212756614448,0.23769106856368377,0.6713877849360146,0.8204798348449265,0.37015023478545167,0.6414074360275525,0.6002606758218387,0.630715460112639,0.5953150348151891,0.5848758877818235,-0.02781441172901976,0.6098575484213306,0.10160462373343875,Estimated
spline_logistic__symptoms_diet,rural,Urban,4276,2258,0.5425478430641759,0.6331166760974231,0.6703635493333374,0.23485496768614275,0.6616503430472602,0.6940488185020428,0.47711301512724724,0.6115378042060149,0.5680068809278702,0.5948110673316367,0.5855809168146451,0.543749752855228,-0.005179137466349773,0.906801219230393,0.009800684926532377,Estimated
spline_logistic__symptoms_diet,education,High,1179,525,0.4824216379512012,0.5904540192222107,0.5853991386679329,0.24325167138349313,0.6798363804760148,0.49086258237352953,0.585257083993018,0.5245210448824876,0.5522277189148901,0.5397191339081571,0.5380598331832738,0.49565950302352324,-0.05551398511580081,0.7669138052928355,-0.05937668945963033,Estimated
spline_logistic__symptoms_diet,education,Intermediate,2811,1536,0.5647732498189988,0.6354607152747298,0.6834263336482043,0.23270124524321323,0.6573405071952356,0.7553351398600683,0.4442337071455339,0.6381562886995641,0.5831952799246126,0.6199354743230681,0.5997844235028011,0.5593134815361097,0.023837963086638127,0.8711143088222933,0.052056759591579675,Estimated
spline_logistic__symptoms_diet,education,Low,1008,606,0.6019000500203198,0.6207438539140115,0.6998782839252002,0.2299786592010077,0.6523173687835772,0.8813601029319476,0.2479699343493347,0.6392425887634572,0.5802564858964451,0.6292075085015882,0.5646650186406411,0.609869974908086,-0.03545865262845885,0.8190065011789232,0.04217949081601866,Estimated
