model,weighting,classification_threshold,bootstrap_replicates,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status,auc_bootstrap_valid,auc_low,auc_high,brier_bootstrap_valid,brier_low,brier_high,log_loss_bootstrap_valid,log_loss_low,log_loss_high,sensitivity_bootstrap_valid,sensitivity_low,sensitivity_high,specificity_bootstrap_valid,specificity_low,specificity_high,ppv_bootstrap_valid,ppv_low,ppv_high,accuracy_bootstrap_valid,accuracy_low,accuracy_high
random_forest__symptoms_diet_labels,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6365723881696959,0.6739932189063068,0.23406202902694867,0.6601857403779438,0.732798508913525,0.4428180248266859,0.6130248950338751,0.579102361355603,0.6012583837041224,0.5878082668701055,0.5449640651277193,0.005968033115420609,1.1997846637619258,-0.027687457580593322,Estimated,1000.0,0.6052506272237855,0.6657048784089147,1000.0,0.22867779857561035,0.23951058168976697,1000.0,0.6489302762332597,0.6715585909229975,1000.0,0.7004506266323078,0.7651688498894946,1000.0,0.40394788991997427,0.4831093004117081,1000.0,0.580435804715106,0.6450461001591823,1000.0,0.5729710579004087,0.6286613821867542
random_forest__symptoms_diet_labels,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6414651811741348,0.6635237718139111,0.23483778765613544,0.6619038911865552,0.7716623280029751,0.4017895185342991,0.5964357574015522,0.6056518946692356,0.5992851469420175,0.586725923268637,0.5505194516604119,-0.06935597523376155,1.2909142435623437,-0.12685107359513434,Estimated,,,,,,,,,,,,,,,,,,,,,
spline_logistic__basic,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6182979586304783,0.6541145578963754,0.23798043604514954,0.668681134287822,0.7101989113880458,0.41454824518298394,0.5936867974145704,0.5428765045359476,0.5760866942389395,0.5623735782855148,0.5465834789849889,-0.0008540274787220724,0.8705023489101255,0.02225351059449985,Estimated,1000.0,0.5941490990801745,0.6432170045013083,1000.0,0.232835934289659,0.24311368126787844,1000.0,0.6577623531673813,0.6795949439213106,1000.0,0.6836424802361796,0.7395672813405089,1000.0,0.38202724919537373,0.447944070911936,1000.0,0.563661709432425,0.625841746242681,1000.0,0.554177988815941,0.5987551517753578
spline_logistic__basic,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6318719782325793,0.6503549904712744,0.2366462269740227,0.6659991831856129,0.7519523986612123,0.4196847038772902,0.5975177304964538,0.5962469733656174,0.5971008737092931,0.5858185512692513,0.5498728657114651,-0.06757546618337168,0.9834278805332998,-0.06429548619231552,Estimated,,,,,,,,,,,,,,,,,,,,,
spline_logistic__context,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6369119262871106,0.6857102076126598,0.23348927983879167,0.658468683847349,0.6994473420722302,0.4496188546377563,0.6048573437902452,0.5539666998465289,0.5861208517689547,0.5745330983549932,0.5466167571245975,-0.0010077073796253713,0.9635916356198385,0.0053316052494185055,Estimated,1000.0,0.6094721528231908,0.6637491396958285,1000.0,0.22718033953318448,0.23953761236323004,1000.0,0.6451514924192417,0.6711125926319921,1000.0,0.6693359525990424,0.7322608821582645,1000.0,0.41055785944896594,0.4885591717894241,1000.0,0.5731360634233071,0.6381075346012804,1000.0,0.5602966770440324,0.6130210544648951
spline_logistic__context,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6523064266465837,0.6788505700733449,0.23197543980818397,0.6557097592419512,0.7359613239122351,0.4478057094162762,0.6042748091603054,0.5968199886428166,0.601667990468626,0.5918835166642556,0.5498214652356377,-0.06798429353681577,1.0874778435213135,-0.08499088633422067,Estimated,,,,,,,,,,,,,,,,,,,,,
spline_logistic__context_diet,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6225071960831512,0.6553525795441066,0.23788394731359408,0.6686285238655562,0.7314938482337656,0.39335120660189005,0.592233210938808,0.548784986515073,0.5781065416397984,0.5624225274178278,0.5468960501665681,-0.0021757154892944686,0.9000705638051171,0.015638737138438195,Estimated,1000.0,0.5941064806881312,0.6508992617154674,1000.0,0.23230743784548488,0.24360321307394575,1000.0,0.6568422764710513,0.6807563817569869,1000.0,0.6969402498382984,0.7624923362801312,1000.0,0.3558712414953663,0.42881460992906784,1000.0,0.5605483131138835,0.6238678776228805,1000.0,0.5514003791368915,0.602948109548156
spline_logistic__context_diet,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6340146374243536,0.6484224926823013,0.23686782261988454,0.6665474214836475,0.783934548159167,0.37153813378781425,0.588333798492883,0.6001376462491397,0.5917394757744241,0.5777363409734906,0.5521378088804416,-0.07670777607362042,1.0475855641690086,-0.08655105604580524,Estimated,,,,,,,,,,,,,,,,,,,,,
spline_logistic__context_diet__winsor99,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6220629091693114,0.6549905972575281,0.23792898825041472,0.6687082731299151,0.7311598500444498,0.3954921563583219,0.5929764796692398,0.5498210501402331,0.5788952223221162,0.5633260032013858,0.546916503665862,-0.0022623818285151935,0.8985887501326091,0.01582760192465974,Estimated,1000.0,0.593540095366471,0.6506688827890352,1000.0,0.23235500414625898,0.2436583698951254,1000.0,0.6568960199662992,0.680833915994107,1000.0,0.6965846227203938,0.7623994141452964,1000.0,0.3600437557828008,0.4307992695114176,1000.0,0.5604030143389922,0.6240443914996915,1000.0,0.5526829691891126,0.6038673993802673
spline_logistic__context_diet__winsor99,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6338897777132707,0.6487376358997727,0.23685003998503124,0.6664863762486658,0.7831907772406098,0.3706859821048146,0.5877756070332123,0.5987611837577426,0.590945194598888,0.5769383796727122,0.5521279795949431,-0.0766625293851885,1.0496916051915797,-0.08694032099572654,Estimated,,,,,,,,,,,,,,,,,,,,,
spline_logistic__context_diet_labels,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6183903424804481,0.6546984352508806,0.23826051010134472,0.6691278404991222,0.733948058520803,0.3982662296674584,0.5950036423966051,0.5541277658344669,0.5816770188439842,0.5661071440941308,0.5457343710565871,0.00272537649718212,0.978813403263922,0.006458926140854204,Estimated,1000.0,0.5898170006078182,0.6469039548218956,1000.0,0.23300635156565824,0.24369849463545065,1000.0,0.6580923453361939,0.6804888574022452,1000.0,0.6998065784821706,0.766671838673916,1000.0,0.36020767581007995,0.43632227212938596,1000.0,0.5642445753134469,0.6257705180853861,1000.0,0.554142178951901,0.6081488266761612
