model,fold,candidate,params,inner_weighted_log_loss,inner_fold_log_losses,selected
random_forest__context_diet_labels,4,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.6757953661049011,"[0.6768665043071941, 0.6710042244225328, 0.6793284845419797]",False
random_forest__context_diet_labels,4,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6815520656322195,"[0.6986660273018046, 0.6625161926078944, 0.6829943134382743]",False
random_forest__context_diet_labels,4,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6786500202712247,"[0.6915532500753515, 0.6625445065843666, 0.6814142569509735]",False
random_forest__context_diet_labels,4,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.675032711901341,"[0.684571437196696, 0.6612533218258609, 0.678867914460899]",False
random_forest__context_diet_labels,4,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6735193119909461,"[0.6782668022263817, 0.6651816713719937, 0.6768431874641372]",True
random_forest__context_diet_labels,5,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.6685011795408917,"[0.6671098731738251, 0.6682780472464067, 0.6701521059008939]",False
random_forest__context_diet_labels,5,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6684858545135272,"[0.6705174414138493, 0.6671820926973252, 0.6675346085013468]",True
random_forest__context_diet_labels,5,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.6697399563939328,"[0.6727568501312721, 0.6675166109810928, 0.668584636323722]",False
random_forest__context_diet_labels,5,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.6727403495313649,"[0.6749810009925683, 0.6720083103017455, 0.671059025398075]",False
random_forest__context_diet_labels,5,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6846451707562735,"[0.7019009929614504, 0.6683259041801242, 0.6812632651801789]",False
random_forest__context_diet_labels,5,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6777221530697763,"[0.6891060396186797, 0.6701427383905192, 0.6726371613392383]",False
random_forest__context_diet_labels,5,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.6745390260586176,"[0.6886042064740184, 0.6657977615551572, 0.6676980681773714]",False
random_forest__context_diet_labels,5,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6723139228068918,"[0.6836279842847907, 0.6665216255331391, 0.6657012289092951]",False
random_forest__symptoms_diet_labels,1,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.6610048412714967,"[0.6627838414487675, 0.6611122978118685, 0.6589947438431473]",True
random_forest__symptoms_diet_labels,1,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6626591582369477,"[0.6651221192356433, 0.6614454752310536, 0.661234435950556]",False
random_forest__symptoms_diet_labels,1,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.6660232744045043,"[0.6684800082299004, 0.6640990424175124, 0.6653135362646987]",False
random_forest__symptoms_diet_labels,1,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.6694289992982708,"[0.6715029189769911, 0.6673540614585115, 0.6692789870981684]",False
random_forest__symptoms_diet_labels,1,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6740848838542213,"[0.6704563061633019, 0.6638618881583962, 0.6881573042860921]",False
random_forest__symptoms_diet_labels,1,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6668663990592127,"[0.6684249853082922, 0.6621652362757982, 0.6698856311606831]",False
random_forest__symptoms_diet_labels,1,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.6644808762207821,"[0.6674505429024628, 0.6595596067488133, 0.6662101077760225]",False
random_forest__symptoms_diet_labels,1,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6657295784946126,"[0.6668586822991777, 0.6620946111235954, 0.6681453681039788]",False
random_forest__symptoms_diet_labels,2,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.665842737160599,"[0.6804959234011064, 0.6510259146801466, 0.6648684021216528]",True
random_forest__symptoms_diet_labels,2,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6688585206238494,"[0.6759459485766394, 0.6580746403744259, 0.6714316588135079]",False
random_forest__symptoms_diet_labels,2,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.6704552937630857,"[0.6762286316385209, 0.6605425641375419, 0.6735009479694536]",False
random_forest__symptoms_diet_labels,2,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.6734347326604697,"[0.6778623546711169, 0.6650301763164117, 0.676445787790297]",False
random_forest__symptoms_diet_labels,2,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6766171334430393,"[0.6971525458357519, 0.6586176702553295, 0.6729243563318379]",False
random_forest__symptoms_diet_labels,2,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6756442431813271,"[0.6931697294437853, 0.6601184564522291, 0.6726312138456495]",False
random_forest__symptoms_diet_labels,2,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.669272427750683,"[0.6854921613813049, 0.6550904897420431, 0.6663264316713642]",False
random_forest__symptoms_diet_labels,2,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6689054992627518,"[0.6804983183483154, 0.6548890443412669, 0.6700654856347981]",False
random_forest__symptoms_diet_labels,3,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.6643860063140579,"[0.6618114338068019, 0.6746406733932215, 0.6561291903339616]",False
random_forest__symptoms_diet_labels,3,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6626948842036775,"[0.6602096976225279, 0.6697047175794247, 0.6579010616725701]",False
random_forest__symptoms_diet_labels,3,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.6651179180324444,"[0.6621589668025124, 0.6702575998597753, 0.6629358375479788]",False
random_forest__symptoms_diet_labels,3,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.6685975022792172,"[0.6658789605568436, 0.6742359426550285, 0.6655851592734313]",False
random_forest__symptoms_diet_labels,3,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6737147119984055,"[0.662661714079294, 0.6930477153052994, 0.6654163264296681]",False
random_forest__symptoms_diet_labels,3,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6680980003447842,"[0.658145615518671, 0.6762858225306907, 0.6707636871524295]",False
random_forest__symptoms_diet_labels,3,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.6623108936354861,"[0.6535166178373448, 0.672348912309823, 0.6615844358927323]",True
random_forest__symptoms_diet_labels,3,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6625709495164208,"[0.6572904322302656, 0.6704888360278358, 0.6600560159804556]",False
random_forest__symptoms_diet_labels,4,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.6673982464608247,"[0.6651527477786767, 0.6680129638252562, 0.6690099109233135]",False
random_forest__symptoms_diet_labels,4,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6650537806158175,"[0.6641711517657342, 0.6637975957058458, 0.667119810629292]",True
random_forest__symptoms_diet_labels,4,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.6675338149105684,"[0.6660012451839552, 0.6670547850682881, 0.6694932099859292]",False
random_forest__symptoms_diet_labels,4,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.6706532400986448,"[0.6690282089101649, 0.6710147705673725, 0.6718992749883248]",False
random_forest__symptoms_diet_labels,4,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6742896078659608,"[0.682781531167053, 0.6760902053493187, 0.6642491495340442]",False
random_forest__symptoms_diet_labels,4,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.673299839363195,"[0.6773814845000315, 0.6763631812125266, 0.6663717827662072]",False
random_forest__symptoms_diet_labels,4,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.6696533431678011,"[0.6691850998653868, 0.6756646349960806, 0.6643626746208329]",False
random_forest__symptoms_diet_labels,4,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6687134394691676,"[0.6667828648736842, 0.6742934700236768, 0.6652676764590605]",False
random_forest__symptoms_diet_labels,5,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.6666630818207301,"[0.6669794888645139, 0.6642620649371406, 0.6684834096831326]",False
random_forest__symptoms_diet_labels,5,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6643280645212684,"[0.664478000768156, 0.6645927697924445, 0.6639346176412607]",True
random_forest__symptoms_diet_labels,5,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.6664539374374113,"[0.6678902256844921, 0.6669467546853242, 0.6645145686995725]",False
random_forest__symptoms_diet_labels,5,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.6707453672162137,"[0.6728078276275028, 0.6705393815851574, 0.668778761747256]",False
random_forest__symptoms_diet_labels,5,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6804270890983687,"[0.6916650494864828, 0.671876504823742, 0.6763640654772879]",False
random_forest__symptoms_diet_labels,5,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6729030904923112,"[0.6840419284254527, 0.6645743248982164, 0.6687447896431141]",False
random_forest__symptoms_diet_labels,5,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.6704149337081523,"[0.6847486988272717, 0.6642911959917814, 0.660949614587829]",False
random_forest__symptoms_diet_labels,5,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6693036095795944,"[0.6808784306726504, 0.6658952780744328, 0.6602838911003923]",False
hist_gradient_boosting__context_diet_labels,1,0,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 3}",0.6692024839041673,"[0.6720252122079076, 0.668210746281201, 0.6671716722846396]",True
hist_gradient_boosting__context_diet_labels,1,1,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 7}",0.6888012284566918,"[0.688821270983986, 0.6924031101646263, 0.6851891912815208]",False
hist_gradient_boosting__context_diet_labels,1,2,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 15}",0.7156829748952941,"[0.7249694608391518, 0.7044962160831038, 0.716901033333525]",False
hist_gradient_boosting__context_diet_labels,1,3,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 3}",0.6698441792366392,"[0.6741431986166511, 0.668855075487363, 0.666231569169804]",False
hist_gradient_boosting__context_diet_labels,1,4,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 7}",0.6922592065905985,"[0.6988133338694265, 0.6935920940179093, 0.6839196146984325]",False
hist_gradient_boosting__context_diet_labels,1,5,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 15}",0.7135255781118731,"[0.7374817744950669, 0.7038545672952659, 0.6975406041639226]",False
hist_gradient_boosting__context_diet_labels,1,6,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",0.6706921183566018,"[0.6715102478634595, 0.6715755979763866, 0.6689362620503779]",False
hist_gradient_boosting__context_diet_labels,1,7,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 7}",0.6843250245892492,"[0.6921835733192854, 0.6868941444017559, 0.6733577474049045]",False
hist_gradient_boosting__context_diet_labels,1,8,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 15}",0.693054635671612,"[0.708688623163, 0.6879712661880542, 0.6813985704686985]",False
hist_gradient_boosting__context_diet_labels,2,0,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 3}",0.6803303898337365,"[0.6986234966420072, 0.6710709388032934, 0.671339173296911]",False
hist_gradient_boosting__context_diet_labels,2,1,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 7}",0.6919489734394384,"[0.7099523718976424, 0.677901885098603, 0.6872529483477394]",False
hist_gradient_boosting__context_diet_labels,2,2,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 15}",0.7147411637192562,"[0.7364478116916269, 0.7148125556226376, 0.6947649358369651]",False
hist_gradient_boosting__context_diet_labels,2,3,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 3}",0.6777015940170292,"[0.6978187011918178, 0.6691946813575983, 0.6664034797632741]",False
hist_gradient_boosting__context_diet_labels,2,4,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 7}",0.6926002976166276,"[0.7284759580709802, 0.672492664465171, 0.6766069174553186]",False
hist_gradient_boosting__context_diet_labels,2,5,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 15}",0.722674453617392,"[0.758918588863045, 0.7010653727711085, 0.7076066440251262]",False
hist_gradient_boosting__context_diet_labels,2,6,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",0.676248956905916,"[0.6982637723755536, 0.6605756908699675, 0.6692410291512617]",True
hist_gradient_boosting__context_diet_labels,2,7,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 7}",0.6851807040351772,"[0.7143004574479571, 0.6647088546863791, 0.675692492201821]",False
hist_gradient_boosting__context_diet_labels,2,8,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 15}",0.695783278970517,"[0.7245014777817588, 0.6710009949646513, 0.6902912548549703]",False
hist_gradient_boosting__context_diet_labels,3,0,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 3}",0.6878844090842681,"[0.6829158024895408, 0.705766687810525, 0.6740476352225336]",False
hist_gradient_boosting__context_diet_labels,3,1,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 7}",0.7093729741416712,"[0.7073490691181648, 0.7323772303419825, 0.6864519855033568]",False
