model,variable,level,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status
spline_logistic__context_diet_labels,education,Low,1008,606,0.6019000500203198,0.5990944677368593,0.69663265489055,0.23361000440491858,0.6588400744716193,0.8959911490606628,0.09865322577724714,0.6004711864971075,0.38550340390838006,0.5785709616846331,0.49732218741895495,0.6036818911633497,-0.007674627792819738,0.9246815491732017,0.023024995103942136,Estimated
spline_logistic__symptoms_diet_labels,sex,Female,3125,1579,0.5080101397128755,0.605074003492956,0.5981190160966134,0.24313645197064657,0.6800048007311454,0.6481605843471892,0.4993501399431081,0.5720634088319334,0.5788585457147063,0.5749473545955603,0.5737553621451487,0.5210290682228196,-0.05497190893336425,0.7382364633977658,-0.032386209937185516,Estimated
spline_logistic__symptoms_diet_labels,sex,Male,1911,1110,0.5843928095576381,0.6442889895638004,0.7127040163969013,0.22892313417143306,0.6493393629972506,0.7756093723067349,0.3936040641449587,0.6426647277332926,0.5550569114600395,0.6168452194475504,0.5846067182258468,0.5711786373439898,0.05740882737140901,1.0162242559847905,0.05321831534039815,Estimated
spline_logistic__symptoms_diet_labels,age_group,15–24,729,280,0.40858932174513063,0.5811457584790306,0.4815337016662272,0.2405691939130806,0.6751732462540119,0.3064707194802488,0.8165336551468322,0.5357615471630847,0.6301999707806569,0.6081273862154927,0.5615021873135405,0.4429154816989277,-0.14563655253824342,0.5909493965588652,-0.23468071786113281,Estimated
spline_logistic__symptoms_diet_labels,age_group,25–44,1569,828,0.5706988102525066,0.5922265261663053,0.6681783790108715,0.24052870451342523,0.6738246354170978,0.6607541348491346,0.4300566453305438,0.6064818663663268,0.4881244779662068,0.5617154281270437,0.5454053900898392,0.5425194851167944,0.12002593426294898,0.7084268362767441,0.16456166873997022,Estimated
spline_logistic__symptoms_diet_labels,age_group,45–64,1759,1034,0.5956123883526976,0.6279294488200482,0.7005493616482567,0.2302672532897696,0.6526245444290173,0.9129156324498245,0.2012961362685167,0.6273510558210776,0.6108017299603984,0.6251455239874089,0.5571058843591706,0.6067530930846644,-0.04858037311111467,0.9961374708351002,-0.04697635032582483,Estimated
spline_logistic__symptoms_diet_labels,age_group,65+,979,547,0.572307948438002,0.6541007182166179,0.714383754765189,0.22696228742531344,0.644690585316289,0.8834551292903434,0.2580180360520463,0.6143866701167795,0.6232766417198656,0.6159606557602835,0.5707365826711949,0.5784939205647138,-0.026394116847045433,1.4808261876674165,-0.16932508251851353,Estimated
spline_logistic__symptoms_diet_labels,rural,Rural,760,431,0.5786100342788364,0.6404238809677316,0.68046096550332,0.2318390194919382,0.6572185447058371,0.8279432671111335,0.3701144086819473,0.6434744643248699,0.610381914751248,0.6350187801514993,0.5990288378965404,0.5810486471205067,-0.010701072003266428,0.8424939708806817,0.038576583705148264,Estimated
spline_logistic__symptoms_diet_labels,rural,Urban,4276,2258,0.5425478430641759,0.6271025562862473,0.6633048494613087,0.23649072580092179,0.6654775671495265,0.7025166453984125,0.4595085847590818,0.6065407257806549,0.5656673291823865,0.5913520839061591,0.5810126150787471,0.5420787139642931,0.002000250907510146,0.9154775156850083,0.015273523681381735,Estimated
spline_logistic__symptoms_diet_labels,education,High,1179,525,0.4824216379512012,0.5796050845190057,0.5882940553404689,0.245369730469681,0.6840598151588556,0.49576742351646513,0.5993112752240248,0.5355846361005457,0.5604739892406568,0.5493594806834876,0.547539349370245,0.49685771833270176,-0.06026979857911832,0.6981438931937698,-0.06347354703850448,Estimated
spline_logistic__symptoms_diet_labels,education,Intermediate,2811,1536,0.5647732498189988,0.6362154822616795,0.6841340443347065,0.23240734317681905,0.6569563708139466,0.7638402271021844,0.41630709913864217,0.6293760076205885,0.5759959114376608,0.6125845132383738,0.5900736631204133,0.5545122163027054,0.04415771308392484,0.9749467365745381,0.04922595859369914,Estimated
spline_logistic__symptoms_diet_labels,education,Low,1008,606,0.6019000500203198,0.6055733531813318,0.6853358490217604,0.23260501717707616,0.6584373773348076,0.8943381255565523,0.20880556248866203,0.6308647682647656,0.5665456234766705,0.6214276464897832,0.5515718440226072,0.6132196347810321,-0.04993156176062012,0.7606704619035556,0.05648711856768555,Estimated
random_forest__context_diet_labels,sex,Female,3125,1579,0.5080101397128755,0.5717478622096663,0.582226132177083,0.24607436060890553,0.6851293022834728,0.6500525752378538,0.4472514931213095,0.5483963621695896,0.5531224614701784,0.5502764991812574,0.5486520341795816,0.5208961942212944,-0.05302254514574602,0.795844153722647,-0.03585223988682126,Estimated
random_forest__context_diet_labels,sex,Male,1911,1110,0.5843928095576381,0.6425787427064463,0.7169665246559871,0.2290168275548034,0.6493612132969458,0.8012036438121606,0.38251432937169766,0.6459518636722196,0.5777765033064524,0.6271933541693212,0.5918589865919291,0.565530795018491,0.0806257878352962,1.21806301938479,0.02883691264016012,Estimated
random_forest__context_diet_labels,age_group,15–24,729,280,0.40858932174513063,0.5516983772552555,0.4377732347894221,0.24368772476799425,0.6802835373114369,0.2919016023142796,0.7457512737060613,0.44233365243991274,0.6038682488839051,0.5603131442978427,0.5188264380101705,0.4608985624711719,-0.21685336156671955,0.5960952153208056,-0.2772915197557381,Estimated
random_forest__context_diet_labels,age_group,25–44,1569,828,0.5706988102525066,0.56349553760712,0.6473222078162952,0.2438571219772369,0.6803532714221223,0.7150600643566981,0.3862072126721115,0.6076421897271789,0.5048480464785754,0.5738831438766492,0.5506336385144048,0.5386072669773905,0.13430336352947844,0.6411106952454724,0.1853560953288818,Estimated
random_forest__context_diet_labels,age_group,45–64,1759,1034,0.5956123883526976,0.6474054762565868,0.7305680057208429,0.22657578855534755,0.6441059774032566,0.8906012534473441,0.23019770079116555,0.6301777226543798,0.5882468923569122,0.6235422380653184,0.5603994771192549,0.5910558278531104,0.0194968219140677,1.5138964808169797,-0.15798426003604116,Estimated
random_forest__context_diet_labels,age_group,65+,979,547,0.572307948438002,0.6316654209617474,0.6787460270854275,0.2341356302983794,0.660690331678407,0.9030964874441673,0.1887562663695265,0.5983355415237136,0.5927793427128325,0.597578852779503,0.5459263769068469,0.5775618813879941,-0.022011591197143344,1.4650344823122525,-0.16166726793465733,Estimated
