feature,mdi,n_encoded_columns,mdi_scaled,rank,model,fold,test_weight_sum,representation
legumes,0.012051234931812788,4,4.053627367318656,14.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
fruit_days,0.06886076603139897,2,23.162430016408052,5.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
fruit_portions,0.015422473763344208,2,5.187597957601348,10.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
vegetable_days,0.010976134860781106,2,3.692000107108511,15.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
vegetable_portions,0.009825283886925584,2,3.3048928081701163,18.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
label_ingredients,0.003532944034146357,5,1.188362744984393,23.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
label_nutrition,0.0037996971600844924,5,1.2780894640915088,22.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
label_warnings,0.03875768967790977,5,13.036774443562019,6.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
label_health,0.007044671042825606,5,2.3695888010258526,21.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
label_brand,0.012868344388039403,5,4.328475320461732,13.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
label_discounts,0.00954580010006098,5,3.210883925796948,19.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
water,0.012962339282098582,2,4.360092020086489,12.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
soda_frequency,0.03674666101198743,2,12.360332495266281,7.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
juice_frequency,0.0756194135074,2,25.435810174523994,4.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
oil,0.0,7,0.0,24.0,rf_complete_modern,3,2756937.4032588005,"Modern coding, complete cohort"
age,0.16172894096737664,2,100.0,1.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
sex,0.05959871706882504,2,36.850990745587744,4.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
region,0.03506198829077586,15,21.679476833925744,9.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
rural,0.004145642124187523,2,2.5633273175416185,24.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
education,0.049092422468532196,3,30.35475417998003,5.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
indigenous,0.0016488408699299336,2,1.0195088523225608,25.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
born_chile,0.0,2,0.0,27.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
teeth_remaining,0.1521515616237334,2,94.07812894441993,2.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
fish,0.032499895343224096,4,20.095287305306634,12.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
dairy_frequency,0.044141905920429256,7,27.293758096971278,6.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
dairy_type,0.022073179872413376,3,13.648255989548522,18.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
wholegrain,0.04123903075255325,6,25.49885660901708,8.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
legumes,0.026249735345577962,4,16.230697603388723,16.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
fruit_days,0.02698072890278813,2,16.68268446043345,15.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
fruit_portions,0.03371054925338972,2,20.843857043613294,10.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
vegetable_days,0.03139861878061104,2,19.414347607052377,13.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
vegetable_portions,0.014032693271294909,2,8.676674185435699,23.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
label_ingredients,0.01728449249395261,5,10.687321879785989,22.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
label_nutrition,0.01770388550939746,5,10.946640349897933,20.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
label_warnings,0.04130062023345012,5,25.536938525913627,7.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
label_health,0.01907080566133024,5,11.791832400100322,19.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
label_brand,0.017414767410673285,5,10.767873273952945,21.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
label_discounts,0.02547186061860797,5,15.749723250674139,17.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
water,0.028391228910053315,2,17.55482274244304,14.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
soda_frequency,0.06296180494601979,2,38.93045027650321,3.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
juice_frequency,0.03322522779187688,2,20.5437737940663,11.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
oil,0.0014208555689960718,7,0.8785413176499323,26.0,rf_complete_modern,4,2760460.2584929466,"Modern coding, complete cohort"
age,0.14937868116626477,2,100.0,1.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
sex,0.04419776264908222,2,29.373931539064575,6.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
region,0.048305663232642765,15,32.13227280414744,4.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
rural,0.004887442947800005,2,2.9781425539125777,24.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
education,0.03568878547137439,3,23.660389452177807,11.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
