model,fold,repeat,brier_increase,auc_drop,n_test,test_weight_sum,feature,n_input_columns,representation
rf_complete_historical,1,2,0.0007786754977207322,0.006733556861900025,997,2854394.5302591324,wholegrain,5,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,0.00047595226505012245,-0.0008746776302721582,997,2854394.5302591324,wholegrain,5,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-0.0006760750964227014,-0.009328333188741045,997,2854394.5302591324,wholegrain,5,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,0.002124514311829251,0.013646765454543353,997,2854394.5302591324,wholegrain,5,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.0003475717343481566,-0.0018438408202338108,997,2854394.5302591324,legumes,3,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,0.00017386212429035264,0.0002359634772097774,997,2854394.5302591324,legumes,3,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,9.177773619487017e-05,0.00041944875718213925,997,2854394.5302591324,legumes,3,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,0.00032542897241005786,0.003673869734545976,997,2854394.5302591324,legumes,3,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,-0.0005660934848265298,-0.003144405998888322,997,2854394.5302591324,legumes,3,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.0003555162766376574,-0.007176284045696701,997,2854394.5302591324,fruit_days,7,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,-0.00015823805407019775,-0.003603134954422771,997,2854394.5302591324,fruit_days,7,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-0.001277327942868306,-0.012209097950405812,997,2854394.5302591324,fruit_days,7,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-0.0006252743786742954,-0.009662389780431213,997,2854394.5302591324,fruit_days,7,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,-0.0020572660740064697,-0.018173016535552144,997,2854394.5302591324,fruit_days,7,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.00020333107856951305,-0.00123944624547212,997,2854394.5302591324,fruit_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,6.634115587350609e-06,0.0009606784741947871,997,2854394.5302591324,fruit_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-0.00029207392041016855,-0.000733983152625739,997,2854394.5302591324,fruit_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-0.00012018581831046982,-0.0012227565234290694,997,2854394.5302591324,fruit_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,0.0007591599230261925,0.005201664706707021,997,2854394.5302591324,fruit_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.00040807554482202857,-0.004581691559739198,997,2854394.5302591324,vegetable_days,7,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,-0.0014540785921125787,-0.011145823613284311,997,2854394.5302591324,vegetable_days,7,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-0.0007389302223913541,-0.004374327968752367,997,2854394.5302591324,vegetable_days,7,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-4.4270317220651556e-05,-0.0017133898965152605,997,2854394.5302591324,vegetable_days,7,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,-0.0007585180565339023,-0.006258331283054197,997,2854394.5302591324,vegetable_days,7,"Historical 90-term coding, complete cohort"
