bin,n,predicted,observed,model
"(0.69, 0.89]",504,0.7336999442994249,0.7535274814923696,spline_base
"(0.278, 0.454]",504,0.41942958523558477,0.4080125335772793,spline_no_water
"(0.454, 0.492]",504,0.4737117213634707,0.4964039827673866,spline_no_water
"(0.492, 0.52]",503,0.5061327582828317,0.46965240559214255,spline_no_water
"(0.52, 0.545]",504,0.5326542607322748,0.460117966227527,spline_no_water
"(0.545, 0.565]",503,0.5548862462024502,0.5465783682027457,spline_no_water
"(0.565, 0.582]",504,0.5736304099265116,0.5719048081613333,spline_no_water
"(0.582, 0.601]",503,0.5913580488433355,0.6849213394036718,spline_no_water
"(0.601, 0.623]",504,0.6116517776533995,0.5505725701291333,spline_no_water
"(0.623, 0.647]",503,0.6345620287013167,0.6800972485153823,spline_no_water
"(0.647, 0.859]",504,0.6730344469383556,0.732046716666785,spline_no_water
"(0.242, 0.451]",504,0.413162140752357,0.46485099512025113,rf_no_water
"(0.451, 0.487]",504,0.4693033578659313,0.4653339438987928,rf_no_water
"(0.487, 0.515]",503,0.5015924721612403,0.49421911390025475,rf_no_water
"(0.515, 0.534]",504,0.5250485262107137,0.4898677122470113,rf_no_water
"(0.534, 0.554]",503,0.5442825639166026,0.5322517571498693,rf_no_water
"(0.554, 0.572]",504,0.5635283541895905,0.5187256890147793,rf_no_water
"(0.572, 0.592]",503,0.5826695757292533,0.5563912993346429,rf_no_water
"(0.592, 0.616]",504,0.6039969565795724,0.5906273943984355,rf_no_water
"(0.616, 0.653]",503,0.6337560599555783,0.7064535701310605,rf_no_water
"(0.653, 0.85]",504,0.6935175189632916,0.7214180243148204,rf_no_water
"(0.26, 0.427]",504,0.39341005941180396,0.4370736792780907,rf_base
"(0.427, 0.467]",504,0.44611270257826985,0.4539870885655976,rf_base
"(0.467, 0.495]",504,0.48145680199106866,0.5044136949489731,rf_base
"(0.495, 0.523]",503,0.5087069273461565,0.46077293304105055,rf_base
"(0.523, 0.549]",503,0.536056196825017,0.5175230011075077,rf_base
"(0.549, 0.575]",504,0.5624164312212,0.563486009024979,rf_base
"(0.575, 0.603]",503,0.5885571967475672,0.5703347090190898,rf_base
"(0.603, 0.639]",504,0.6179207840499291,0.6348413656601251,rf_base
"(0.639, 0.696]",503,0.6639940079727994,0.6621067147389277,rf_base
"(0.696, 0.916]",504,0.7413234507133246,0.7247818166450669,rf_base
"(0.282, 0.45]",504,0.4172005644587958,0.41915545382892694,spline_extended
"(0.45, 0.489]",504,0.47066576756907175,0.48524525414482966,spline_extended
"(0.489, 0.519]",503,0.5047527140732243,0.43819504239819584,spline_extended
"(0.519, 0.543]",504,0.5308993474430035,0.5085596862642657,spline_extended
"(0.543, 0.563]",503,0.5535511466364578,0.4810230359522932,spline_extended
"(0.563, 0.583]",504,0.5722734019046793,0.6078292251753674,spline_extended
"(0.583, 0.603]",503,0.5924395748254063,0.6539550525610666,spline_extended
