model,variable,level,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status
spline_logistic,age_group,65+,979,547,0.572307948438002,0.5912700608852048,0.6312926362681872,0.23995514577456545,0.672846563304085,0.9753094771258816,0.05635338751018561,0.5803662043218998,0.6304037017712113,0.5822792618627534,0.5158314323180336,0.5852883467117519,-0.05375444297231983,1.5875702671963634,-0.25380273465507647,Estimated
spline_logistic,education,High,1179,525,0.4824216379512012,0.5285900419802815,0.5313519186099254,0.25063573585956184,0.694460073334461,0.5595937675904684,0.46755581069777136,0.49484782823226015,0.5324950351116134,0.5119569126156283,0.5135747891441199,0.5100358496758068,-0.11234829548787582,0.47552439149846726,-0.09008574933259103,Estimated
spline_logistic,education,Intermediate,2811,1536,0.5647732498189988,0.6209345543904432,0.6649423514688089,0.23590945544711817,0.66463585230062,0.7938929726620324,0.3510389743279729,0.6135200983036798,0.5675702165310644,0.6011510661624372,0.5724659734950026,0.5506825639973949,0.058588842188425104,1.3353159486992052,-0.006740614119729665,Estimated
spline_logistic,education,Low,1008,606,0.6019000500203198,0.587923133537914,0.6794924919963948,0.23512418659173825,0.6625317207299651,0.9463821198766099,0.05044500972828332,0.6010977754073726,0.38357841059571496,0.5897096011416219,0.49841356480244664,0.5982779718596011,0.015322246835975196,1.1529401776904753,-0.044528949850079526,Estimated
spline_logistic,rural,Rural,760,431,0.5786100342788364,0.6376782693017471,0.7011752285925691,0.23198425507837891,0.6561472929135097,0.8477780264295244,0.28401338942157245,0.6191701483209464,0.5760579591749166,0.6102132653659393,0.5658957079255484,0.5715659499675221,0.02958079468426404,1.4937697067627735,-0.1081033129424738,Estimated
spline_logistic,rural,Urban,4276,2258,0.5425478430641759,0.6007952323065365,0.6321743473163444,0.2408803805513337,0.6746858350682721,0.7472935935732199,0.35971074445033924,0.5805769001498428,0.5454908255785728,0.5699929832506261,0.5535021690117796,0.542716037633453,-0.0006941452113919626,1.1250437455726565,-0.02157510872221604,Estimated
random_forest,sex,Female,3125,1579,0.5080101397128755,0.5666705318340337,0.5666493213613968,0.24777224688883817,0.6887723600339168,0.6833667637637583,0.4213792812242341,0.5494448225394386,0.5630982819097061,0.5544715788321622,0.5523730224939962,0.5213801947841588,-0.05462888019010588,0.7223281649019104,-0.030510126024244754,Estimated
random_forest,sex,Male,1911,1110,0.5843928095576381,0.6029061821091047,0.6713898226595887,0.2359699116759182,0.6643577766217328,0.801499647745867,0.28812715254845606,0.6128761093885866,0.5079438801239624,0.5881383473664861,0.5448134001471615,0.5676189883082927,0.07096870684454873,0.9626510449632905,0.08059007351254606,Estimated
random_forest,age_group,15–24,729,280,0.40858932174513063,0.49740427267366405,0.41274239658368156,0.24854351624753648,0.6902522155278537,0.25614925909442615,0.7361978368066444,0.4014951350090723,0.5889093700319957,0.5400551140344945,0.49617354795053525,0.4638239283697182,-0.2282623464564967,-0.006317156929565902,-0.3707294585849615,Estimated
random_forest,age_group,25–44,1569,828,0.5706988102525066,0.5638717627341571,0.6302724714498179,0.24465958547681546,0.6824980213328733,0.7217028265030493,0.3557263363928838,0.5982533651534043,0.49019359738534135,0.5645886838791435,0.5387145814479666,0.5386266967957074,0.1328454909966996,0.6156299173714114,0.18925665991868948,Estimated
random_forest,age_group,45–64,1759,1034,0.5956123883526976,0.5973787601368888,0.681141093833275,0.23445182346194035,0.6610896641075605,0.9302509522394279,0.10664479671513251,0.6053210604677325,0.5093448215312898,0.5971948260689414,0.5184478744772802,0.5922789286672103,0.01412095100523442,1.1426526566085824,-0.03738422130415688,Estimated
random_forest,age_group,65+,979,547,0.572307948438002,0.5692096632772812,0.6484520779832107,0.24034890837592185,0.6733956992237764,0.9485487114693418,0.08775484832316237,0.5818319246089657,0.5603635955616972,0.5803940181683747,0.518151779896252,0.5807651794157089,-0.035149914865348506,1.1495115822366406,-0.08329067210194568,Estimated
random_forest,education,High,1179,525,0.4824216379512012,0.5342182123120005,0.5289176527931942,0.2503716607981063,0.6940310417127815,0.538630269938644,0.5148469162983207,0.5085547809828043,0.544881944150111,0.5263205207174582,0.5267385931184824,0.5050544116665513,-0.09227828772054844,0.4731028397870579,-0.0806813599049278,Estimated
random_forest,education,Intermediate,2811,1536,0.5647732498189988,0.6009271816922722,0.6505782637683825,0.2394462561094492,0.6716816637867665,0.7830953358065181,0.3381780747427715,0.6055906859124414,0.5457609655652326,0.5894554421743116,0.5606367052746448,0.5512632237824917,0.05645721942498179,0.9437674283950117,0.06747312630855991,Estimated
random_forest,education,Low,1008,606,0.6019000500203198,0.576417904418324,0.6904105535969915,0.2354366316440486,0.6629399937237654,0.9465365124895078,0.04396348677433156,0.5995046890178358,0.35228100213157587,0.5872222360992877,0.4952499996319197,0.5978664116512051,0.017104257796107976,1.0286430408680953,0.0060036556553461655,Estimated
random_forest,rural,Rural,760,431,0.5786100342788364,0.6227363328315277,0.6921844144711331,0.2345876194505928,0.6613299141738358,0.8523899389227934,0.24267754001514,0.6071445118581136,0.5449010737644672,0.5954632520473289,0.5475337394689667,0.5790575397555379,-0.0018918127240782285,1.15333562263749,-0.04907056363350544,Estimated
random_forest,rural,Urban,4276,2258,0.5425478430641759,0.5880623496738763,0.6253205656606022,0.24270644309110934,0.6783131630496351,0.733447389170823,0.3729118082796739,0.5810956227683464,0.5411979729415791,0.5685196100400565,0.5531795987252485,0.5405100963111986,0.008439701471017785,0.89727768501522,0.024531269519966755,Estimated
