model,fold,candidate,params,inner_weighted_log_loss,inner_fold_log_losses,selected
random_forest,1,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6788992345451572,"[0.685477017796428, 0.6754235952530218, 0.6753278008980069]",False
random_forest,2,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.678575801995542,"[0.6830756551931999, 0.6718091315132698, 0.6801421035237301]",True
random_forest,2,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6813844128856756,"[0.6875787267310678, 0.6719545529476407, 0.6836374222753173]",False
random_forest,2,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.680446357489451,"[0.6873847340993477, 0.6719591296313563, 0.681223339491309]",False
random_forest,2,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.681258928381156,"[0.6861069882743881, 0.6738962558475671, 0.683007353902424]",False
random_forest,2,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6861523430342887,"[0.7003318909250259, 0.682460964304236, 0.6762491611524104]",False
random_forest,2,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6882201864214611,"[0.7024875591016433, 0.6852512935383048, 0.6776283642410285]",False
random_forest,2,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.6823402067866573,"[0.6951482408744724, 0.6742994440438457, 0.677355943927999]",False
random_forest,2,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6815158315490771,"[0.6916494090383767, 0.6742278197742398, 0.6783518871128851]",False
random_forest,3,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.6829827072531244,"[0.684773509987416, 0.6928445022344581, 0.6700397829957739]",False
random_forest,3,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6781586014083141,"[0.6764824299154226, 0.6890698868302971, 0.668126504455542]",False
random_forest,3,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.6772353741687023,"[0.675068597408171, 0.6841122776813865, 0.6722143997990042]",False
random_forest,3,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.6778850692822945,"[0.6744351518190272, 0.6846010667481854, 0.6745454044808286]",False
random_forest,3,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6915863205363812,"[0.689746283292214, 0.708065993572371, 0.6756237351162941]",False
random_forest,3,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6856778902703657,"[0.6792226741115335, 0.7030373497863711, 0.6741589126925246]",False
random_forest,3,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.6772959628644187,"[0.6697309998414809, 0.6916198180946928, 0.6704158201396657]",False
random_forest,3,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6744382726770404,"[0.66862316524315, 0.6841944031418884, 0.6705289026382487]",True
random_forest,4,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.6823909740933649,"[0.689394375930043, 0.669463719291966, 0.6878946690480627]",False
random_forest,4,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6789217015604684,"[0.6825677690288893, 0.6703889466181219, 0.6835110955630398]",False
random_forest,4,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.6775435477199598,"[0.6790458670110372, 0.6724063425188733, 0.6809852828195331]",True
random_forest,4,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.680111209666525,"[0.6820241364330522, 0.6754345810137361, 0.6827102250929341]",False
random_forest,4,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6851824694588412,"[0.6954634625351858, 0.6687111732021777, 0.6908651800778787]",False
random_forest,4,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6817899895821383,"[0.6907854574680686, 0.6674447508406941, 0.6866985347253615]",False
random_forest,4,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.6784912882765668,"[0.687820534397612, 0.6672976205844163, 0.6800586425017612]",False
random_forest,4,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6785663715485735,"[0.6841529617525942, 0.6714244302154384, 0.6799247059003397]",False
random_forest,5,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.677453168942716,"[0.679350763774383, 0.6797158442429312, 0.673447600946233]",False
random_forest,5,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.6752532206593893,"[0.679132383837937, 0.6759029329593692, 0.6706254925388748]",True
random_forest,5,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.6752626138127485,"[0.6785177029218876, 0.6750884144836987, 0.6720236647433094]",False
random_forest,5,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 100}",0.6762787307086225,"[0.6803896273928758, 0.6746380961763767, 0.6734605272310634]",False
random_forest,5,4,"{""max_features"": 0.7, ""min_samples_leaf"": 5}",0.6827771018602948,"[0.6977560305263549, 0.6841190318920514, 0.6659527059257438]",False
random_forest,5,5,"{""max_features"": 0.7, ""min_samples_leaf"": 20}",0.6803868877996146,"[0.7005292211063676, 0.673604504477316, 0.6654532834221109]",False
random_forest,5,6,"{""max_features"": 0.7, ""min_samples_leaf"": 50}",0.6783651441781914,"[0.6974548852991498, 0.6711762486079753, 0.6648934309791387]",False
random_forest,5,7,"{""max_features"": 0.7, ""min_samples_leaf"": 100}",0.6762751259540873,"[0.6877313546312634, 0.6736097554326178, 0.6667137060796633]",False
