model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum,base_model,encoding,encoding_label
random_forest,4,water,3,8.983676626744819e-06,0.002475455598043408,1007,2777806.4952178,random_forest,physical,Reported glasses/day
random_forest,4,water,4,-0.0001634296431868576,-0.0009181461336281727,1007,2777806.4952178,random_forest,physical,Reported glasses/day
random_forest,4,water,5,-0.00011745517027045294,-0.0012988686502339863,1007,2777806.4952178,random_forest,physical,Reported glasses/day
random_forest,5,water,1,-9.328695794280639e-05,-0.001618259311093495,1005,2807410.1710247993,random_forest,physical,Reported glasses/day
random_forest,5,water,2,0.0006592605256750816,0.004503877079621077,1005,2807410.1710247993,random_forest,physical,Reported glasses/day
random_forest,5,water,3,-6.942614661495372e-05,0.00023426609380139407,1005,2807410.1710247993,random_forest,physical,Reported glasses/day
random_forest,5,water,4,0.0005434046939140347,0.005557399450825229,1005,2807410.1710247993,random_forest,physical,Reported glasses/day
random_forest,5,water,5,0.00010308404691758422,0.0005066506113865499,1005,2807410.1710247993,random_forest,physical,Reported glasses/day
spline_logistic,1,water,1,0.0005096745998419694,0.0069497308530459545,1006,2861322.5562906265,spline_logistic,physical,Reported glasses/day
spline_logistic,1,water,2,0.0004798398001001347,0.004305927942684917,1006,2861322.5562906265,spline_logistic,physical,Reported glasses/day
spline_logistic,1,water,3,-0.0009865229042712031,-0.007669047951689212,1006,2861322.5562906265,spline_logistic,physical,Reported glasses/day
spline_logistic,1,water,4,-0.0010437292117548291,-0.008230520444908018,1006,2861322.5562906265,spline_logistic,physical,Reported glasses/day
spline_logistic,1,water,5,-0.00048221928271199865,-0.006107804415759643,1006,2861322.5562906265,spline_logistic,physical,Reported glasses/day
spline_logistic,2,water,1,-0.0008732704666476743,-0.007384380307263627,1007,2574325.41285038,spline_logistic,physical,Reported glasses/day
spline_logistic,2,water,2,-0.0005910657804024666,-0.004594892148869212,1007,2574325.41285038,spline_logistic,physical,Reported glasses/day
spline_logistic,2,water,3,-0.00036269237102526386,-0.0024771659521255485,1007,2574325.41285038,spline_logistic,physical,Reported glasses/day
spline_logistic,2,water,4,-0.0007442713576016613,-0.009442612603811629,1007,2574325.41285038,spline_logistic,physical,Reported glasses/day
spline_logistic,2,water,5,0.00027214301999287094,0.0014271884308704186,1007,2574325.41285038,spline_logistic,physical,Reported glasses/day
spline_logistic,3,water,1,0.00015582886377535354,0.0008654645857663068,1011,2776332.157348156,spline_logistic,physical,Reported glasses/day
spline_logistic,3,water,2,0.00012126910085819009,0.0010146342521728524,1011,2776332.157348156,spline_logistic,physical,Reported glasses/day
spline_logistic,3,water,3,0.00011365716886718724,0.0005008957466234865,1011,2776332.157348156,spline_logistic,physical,Reported glasses/day
spline_logistic,3,water,4,9.97677657900431e-05,0.00022925061198630914,1011,2776332.157348156,spline_logistic,physical,Reported glasses/day
spline_logistic,3,water,5,0.00011728544835395982,0.00042041178673135615,1011,2776332.157348156,spline_logistic,physical,Reported glasses/day
spline_logistic,4,water,1,0.00011316659806456797,0.0023391282230840194,1007,2777806.4952178,spline_logistic,physical,Reported glasses/day
spline_logistic,4,water,2,-6.371418658140948e-06,0.0005334519379919245,1007,2777806.4952178,spline_logistic,physical,Reported glasses/day
spline_logistic,4,water,3,0.000549466400956683,0.003144889324616762,1007,2777806.4952178,spline_logistic,physical,Reported glasses/day
spline_logistic,4,water,4,0.0001787694283659491,0.0010946915164617987,1007,2777806.4952178,spline_logistic,physical,Reported glasses/day
spline_logistic,4,water,5,0.0005145032592793475,0.0036841161467656702,1007,2777806.4952178,spline_logistic,physical,Reported glasses/day
spline_logistic,5,water,1,-0.0008249135735963198,-0.005433144548657176,1005,2807410.1710247993,spline_logistic,physical,Reported glasses/day
spline_logistic,5,water,2,-0.00045214865394654913,-0.0028348350480641438,1005,2807410.1710247993,spline_logistic,physical,Reported glasses/day
