model,fold,block,repeat,n_features,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic,1,Label-related behaviours,1,6,-0.0025423526322967127,-0.020008857123857804,1006,2861322.5562906265
spline_logistic,1,Label-related behaviours,2,6,0.0003831413602233824,0.0015651766070597928,1006,2861322.5562906265
spline_logistic,1,Label-related behaviours,3,6,-0.0009538626633251446,-0.006307436072595096,1006,2861322.5562906265
spline_logistic,1,Label-related behaviours,4,6,-0.001580160819109,-0.012354301740713836,1006,2861322.5562906265
spline_logistic,1,Label-related behaviours,5,6,0.0007582023791257719,0.0034957996315602147,1006,2861322.5562906265
spline_logistic,1,Beverages,1,3,-0.0013706560444329552,-0.01281993577734919,1006,2861322.5562906265
spline_logistic,1,Beverages,2,3,0.00039331730419731037,0.002536572780550972,1006,2861322.5562906265
spline_logistic,1,Beverages,3,3,-0.0005448864001561804,-0.0018413102303108664,1006,2861322.5562906265
spline_logistic,1,Beverages,4,3,-0.00056072043799546,-0.002567628256042176,1006,2861322.5562906265
spline_logistic,1,Beverages,5,3,0.0010249418770354735,0.00782462577421228,1006,2861322.5562906265
spline_logistic,1,Cooking fat,1,1,-5.714353438462938e-06,0.00024835528095112913,1006,2861322.5562906265
spline_logistic,1,Cooking fat,2,1,5.869264791402706e-06,0.00047532577450326574,1006,2861322.5562906265
spline_logistic,1,Cooking fat,3,1,3.1149916140810197e-05,0.0008740617394756844,1006,2861322.5562906265
spline_logistic,1,Cooking fat,4,1,2.5143336586402887e-05,0.0007259555946431684,1006,2861322.5562906265
spline_logistic,1,Cooking fat,5,1,-1.0584693411475055e-06,0.00041600577305589415,1006,2861322.5562906265
spline_logistic,2,Sociodemographic,1,7,0.009308693634795667,0.07287839412609964,1007,2574325.41285038
spline_logistic,2,Sociodemographic,2,7,0.008756196268885075,0.06758656695021426,1007,2574325.41285038
spline_logistic,2,Sociodemographic,3,7,0.003723427520224948,0.017060889433441417,1007,2574325.41285038
spline_logistic,2,Sociodemographic,4,7,0.005755388380769111,0.046254636764669566,1007,2574325.41285038
spline_logistic,2,Sociodemographic,5,7,0.007510094854162569,0.05472348681511696,1007,2574325.41285038
spline_logistic,2,Remaining teeth,1,1,0.0025952895343531734,0.016727243455472385,1007,2574325.41285038
spline_logistic,2,Remaining teeth,2,1,0.011568204557599687,0.09567633956088484,1007,2574325.41285038
spline_logistic,2,Remaining teeth,3,1,0.0046763254171191815,0.03443639096445328,1007,2574325.41285038
spline_logistic,2,Remaining teeth,4,1,0.00661735729106247,0.044735072744692905,1007,2574325.41285038
spline_logistic,2,Remaining teeth,5,1,0.009387076133145267,0.07919239793678434,1007,2574325.41285038
spline_logistic,2,Food intake,1,9,-0.0007059321005992991,-0.007798141709733697,1007,2574325.41285038
spline_logistic,2,Food intake,2,9,0.00031750084546181,-0.001889144819175348,1007,2574325.41285038
spline_logistic,2,Food intake,3,9,-0.0005486477803257062,-0.006991789337183363,1007,2574325.41285038
spline_logistic,2,Food intake,4,9,-0.0007682689862942294,-0.010605338924179253,1007,2574325.41285038
spline_logistic,2,Food intake,5,9,-0.0018269392603511014,-0.02181632610075035,1007,2574325.41285038
spline_logistic,2,Label-related behaviours,1,6,0.0019581893679677387,0.009931452784047168,1007,2574325.41285038
spline_logistic,2,Label-related behaviours,2,6,0.0023450466053567542,0.01265254368337132,1007,2574325.41285038
spline_logistic,2,Label-related behaviours,3,6,0.0009059726327000917,-0.0027355401233536414,1007,2574325.41285038
spline_logistic,2,Label-related behaviours,4,6,0.0002094216210208888,-0.0011519045159374963,1007,2574325.41285038
spline_logistic,2,Label-related behaviours,5,6,0.001173881594426912,0.006556460221375793,1007,2574325.41285038
spline_logistic,2,Beverages,1,3,0.0009781119100971125,0.004427102302653196,1007,2574325.41285038
spline_logistic,2,Beverages,2,3,0.00040953046611377775,0.0005774902605004684,1007,2574325.41285038
spline_logistic,2,Beverages,3,3,-9.234523324255783e-05,-0.002755500713013781,1007,2574325.41285038
spline_logistic,2,Beverages,4,3,0.0010556605937897812,0.006525508296875593,1007,2574325.41285038
spline_logistic,2,Beverages,5,3,-0.00174025417655585,-0.013896776647922437,1007,2574325.41285038
spline_logistic,2,Cooking fat,1,1,1.4190377070066873e-05,-0.00011469836020217006,1007,2574325.41285038
spline_logistic,2,Cooking fat,2,1,4.121552878941226e-05,0.0006445022128256372,1007,2574325.41285038
spline_logistic,2,Cooking fat,3,1,-7.251797910778901e-06,-9.042926085600644e-05,1007,2574325.41285038
spline_logistic,2,Cooking fat,4,1,1.8576447590124e-05,0.00017148107743936158,1007,2574325.41285038
spline_logistic,2,Cooking fat,5,1,1.4123817538291839e-05,0.00018160788870991151,1007,2574325.41285038
spline_logistic,3,Sociodemographic,1,7,0.004058828707162232,0.0370790607542546,1011,2776332.157348156
spline_logistic,3,Sociodemographic,2,7,0.003937921338936612,0.028354956688348976,1011,2776332.157348156
spline_logistic,3,Sociodemographic,3,7,0.0016687198471803388,0.0039787292603152835,1011,2776332.157348156
spline_logistic,3,Sociodemographic,4,7,0.009288629230635087,0.06262488799659427,1011,2776332.157348156
spline_logistic,3,Sociodemographic,5,7,-0.0006017378161516929,-0.009769364885529597,1011,2776332.157348156
spline_logistic,3,Remaining teeth,1,1,0.0031748408308548692,0.02715846733232663,1011,2776332.157348156
spline_logistic,3,Remaining teeth,2,1,0.004159582139844659,0.030026633099528133,1011,2776332.157348156
spline_logistic,3,Remaining teeth,3,1,0.004061362210404845,0.03470139755507251,1011,2776332.157348156
spline_logistic,3,Remaining teeth,4,1,0.004532057173133763,0.03935691556077403,1011,2776332.157348156
spline_logistic,3,Remaining teeth,5,1,0.006351760348719343,0.052060379003702195,1011,2776332.157348156
spline_logistic,3,Food intake,1,9,0.0008314915423314473,-7.476062563360752e-05,1011,2776332.157348156
spline_logistic,3,Food intake,2,9,0.0009329960215942179,0.001857588495701723,1011,2776332.157348156
spline_logistic,3,Food intake,3,9,8.759455399312555e-05,-0.0006725009269578086,1011,2776332.157348156
spline_logistic,3,Food intake,4,9,0.0002923983866246205,0.0049230269282379835,1011,2776332.157348156
