model,fpr,tpr
logistic,0.040030386043894896,0.052519603646327725
logistic,0.04004172829420401,0.052519603646327725
logistic,0.04020926621569339,0.052519603646327725
logistic,0.04024449513429122,0.052519603646327725
logistic,0.04024449513429122,0.05261112888337291
logistic,0.04024449513429122,0.052908527797904455
logistic,0.04024449513429122,0.05329011285908843
logistic,0.04026572035462772,0.05329011285908843
logistic,0.041047594375898645,0.05329011285908843
logistic,0.04185120801339091,0.05329011285908843
logistic,0.04185120801339091,0.053435330296012266
logistic,0.04185120801339091,0.05364450546832713
logistic,0.04185120801339091,0.053742451266861
logistic,0.04212451320674152,0.053742451266861
logistic,0.042405474567527045,0.053742451266861
logistic,0.042405474567527045,0.05519040277862551
logistic,0.042405474567527045,0.055238302544111405
logistic,0.04591220513979976,0.055238302544111405
logistic,0.04591220513979976,0.05539914795093954
logistic,0.04591220513979976,0.05553555141608947
logistic,0.0472632460028526,0.05553555141608947
logistic,0.0472632460028526,0.055618095984504845
logistic,0.0472632460028526,0.05562328449954273
logistic,0.04749155148882929,0.05562328449954273
logistic,0.04749155148882929,0.05577862982501953
logistic,0.04749155148882929,0.0558100698993135
logistic,0.047901149834649395,0.0558100698993135
logistic,0.047901149834649395,0.05584346392122002
logistic,0.04802604440847583,0.05584346392122002
logistic,0.04811415027060138,0.05584346392122002
logistic,0.04811415027060138,0.05600006328247407
logistic,0.04811415027060138,0.05604509335863033
logistic,0.04811415027060138,0.05624008879715745
logistic,0.048132076215542344,0.05624008879715745
logistic,0.04816515259405862,0.05624008879715745
logistic,0.04816515259405862,0.05638648077936695
logistic,0.04819030418744703,0.05638648077936695
logistic,0.04819030418744703,0.059570116259114576
logistic,0.04819030418744703,0.0596341187797627
logistic,0.04819030418744703,0.059825584542515665
logistic,0.04819030418744703,0.05997718536224238
logistic,0.0482110485811867,0.05997718536224238
logistic,0.04879015624266308,0.05997718536224238
logistic,0.04879015624266308,0.060178492854255715
logistic,0.04879015624266308,0.060341971405882794
logistic,0.04879015624266308,0.06044075333622022
logistic,0.04879015624266308,0.06076707189230688
logistic,0.04879015624266308,0.061139949692317806
logistic,0.04879015624266308,0.06131352444317374
logistic,0.0489991642811686,0.06131352444317374
logistic,0.0490241198858923,0.06131352444317374
logistic,0.0490241198858923,0.061545786543042526
logistic,0.0490241198858923,0.06157480310057411
logistic,0.0490241198858923,0.06175466038542835
logistic,0.0490241198858923,0.06289697913440577
logistic,0.04941224913972648,0.06289697913440577
logistic,0.04945067963560861,0.06289697913440577
logistic,0.04945067963560861,0.06291885116419796
logistic,0.04945067963560861,0.0630601532612535
logistic,0.04957218689298032,0.0630601532612535
logistic,0.04957218689298032,0.06307526220816205
logistic,0.04974775212867287,0.06307526220816205
logistic,0.04974775212867287,0.063284483870027
logistic,0.0498898831239273,0.063284483870027
logistic,0.0498898831239273,0.06408957665261596
logistic,0.049978438764288674,0.06408957665261596
logistic,0.05067411896610502,0.06408957665261596
logistic,0.050831370539991316,0.06408957665261596
logistic,0.051139936236668224,0.06408957665261596
logistic,0.051139936236668224,0.06450595532862952
logistic,0.051139936236668224,0.06453382027393893
