model,feature,mdi,minimum_fold_mdi,maximum_fold_mdi,median_rank,best_rank,worst_rank,fraction_top3,min_encoded_columns,max_encoded_columns,mdi_scaled,mean_rank,mdi_mean,rank,representation
rf_complete_modern,vegetable_days,0.027578553226167667,0.010976134860781106,0.03692807894797262,15.0,12.0,19.0,0.0,2,2,16.075880807599482,15.0,0.027578553226167667,15.0,"Modern coding, complete cohort"
rf_complete_modern,vegetable_portions,0.019959014167969826,0.009825283886925584,0.029749491115291474,22.0,18.0,23.0,0.0,2,2,11.489793342120395,22.0,0.019959014167969826,22.0,"Modern coding, complete cohort"
rf_complete_modern,label_ingredients,0.017822660047109203,0.003532944034146357,0.025544457972504698,23.0,21.0,23.0,0.0,5,5,10.20395350579035,23.0,0.017822660047109203,23.0,"Modern coding, complete cohort"
rf_complete_modern,label_nutrition,0.020552453981177884,0.0037996971600844924,0.027850387275635675,20.0,17.0,22.0,0.0,5,5,11.846975957509917,20.0,0.020552453981177884,20.0,"Modern coding, complete cohort"
rf_complete_modern,label_warnings,0.03731063109003135,0.02924681387533794,0.04280257072875483,7.0,6.0,18.0,0.0,5,5,21.933474024673693,10.0,0.03731063109003135,10.0,"Modern coding, complete cohort"
rf_complete_modern,label_health,0.020069426835837886,0.007044671042825606,0.02775643976249664,21.0,19.0,23.0,0.0,5,5,11.55624908810086,21.0,0.020069426835837886,21.0,"Modern coding, complete cohort"
rf_complete_modern,label_brand,0.026704928304217154,0.012868344388039403,0.042000269696951927,14.0,9.0,21.0,0.0,5,5,15.550058933928948,18.0,0.026704928304217154,18.0,"Modern coding, complete cohort"
rf_complete_modern,label_discounts,0.02722301823271207,0.00954580010006098,0.03842090330932751,14.0,9.0,19.0,0.0,5,5,15.86188957209664,16.0,0.02722301823271207,16.0,"Modern coding, complete cohort"
rf_complete_modern,water,0.03518971303593979,0.012962339282098582,0.050223474240152895,8.0,5.0,14.0,0.0,2,2,20.65692492782083,11.0,0.03518971303593979,11.0,"Modern coding, complete cohort"
rf_complete_modern,soda_frequency,0.0506256042762053,0.03674666101198743,0.06296180494601979,3.0,3.0,7.0,0.6,2,2,29.947558756820886,4.0,0.0506256042762053,4.0,"Modern coding, complete cohort"
rf_complete_modern,juice_frequency,0.04540000887836266,0.03322522779187688,0.0756194135074,8.0,4.0,12.0,0.0,2,2,26.802350448199192,5.0,0.04540000887836266,5.0,"Modern coding, complete cohort"
rf_complete_modern,oil,0.0035125903188726673,0.0,0.008442810344829766,25.0,24.0,26.0,0.0,7,7,1.590934934779925,26.0,0.0035125903188726673,26.0,"Modern coding, complete cohort"
rf_complete_historical,age,0.18853339297752902,0.11483408059770243,0.32913431090712547,1.0,1.0,2.0,1.0,1,1,100.0,1.0,0.18853339297752902,1.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,sex,0.04247856645260024,0.021590829681543532,0.08598982306600907,11.0,4.0,23.0,0.0,1,1,22.291670534139012,6.0,0.04247856645260024,6.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,region,0.048227295766249484,0.018957112163939267,0.06828428908836633,3.0,3.0,9.0,0.6,14,14,25.350276416217554,5.0,0.048227295766249484,5.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,rural,0.0025964068862601546,0.0002775381006163775,0.005390486498016746,25.0,24.0,26.0,0.0,1,1,1.072406035117306,25.0,0.0025964068862601546,25.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,education,0.025618484232025066,0.024291298010716004,0.02687217165075177,15.0,6.0,20.0,0.0,2,2,13.321280063719742,14.0,0.025618484232025066,14.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,indigenous,0.0024466642490796027,0.0,0.00508999515761786,26.0,25.0,26.0,0.0,1,1,0.9927356095519643,26.0,0.0024466642490796027,26.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,born_chile,0.0005807918485934924,0.0,0.002773487268673424,27.0,25.0,27.0,0.0,1,1,0.0,27.0,0.0005807918485934924,27.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,teeth_remaining,0.14919190651445235,0.09718262733021393,0.21646517666725112,2.0,1.0,2.0,1.0,1,1,79.06840010365784,2.0,0.14919190651445235,2.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,fish,0.02870446698925811,0.01107585324677179,0.040595211169541914,11.0,10.0,15.0,0.0,3,3,14.963174210806358,12.0,0.02870446698925811,12.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,dairy_frequency,0.04171174458409359,0.013857978633736385,0.056931896179010434,6.0,4.0,13.0,0.0,6,6,21.883683699213215,7.0,0.04171174458409359,7.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,dairy_type,0.016569635434348407,0.006103383696861061,0.02572308197646239,22.0,18.0,23.0,0.0,2,2,8.506848795769825,23.0,0.016569635434348407,23.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,wholegrain,0.04115651095025079,0.014450583176572829,0.05648856923196606,7.0,5.0,12.0,0.0,5,5,21.588272180294194,8.0,0.04115651095025079,8.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,legumes,0.022068282059399084,0.010815545265481206,0.029618922688280383,16.0,14.0,19.0,0.0,3,3,11.432398424784326,18.0,0.022068282059399084,18.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,fruit_days,0.03520770220725194,0.02365307124687145,0.04439923419807483,9.0,7.0,14.0,0.0,7,7,18.42321423096687,10.0,0.03520770220725194,10.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,fruit_portions,0.030742070454613413,0.013305933429809616,0.04228479516473912,13.0,8.0,14.0,0.0,1,1,16.047279167649975,11.0,0.030742070454613413,11.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,vegetable_days,0.02223978824737057,0.005602925641002459,0.034945304807324294,16.0,12.0,19.0,0.0,7,7,11.523648126539628,17.0,0.02223978824737057,17.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,vegetable_portions,0.024216060914993096,0.010419120877351508,0.03443289089845836,16.0,11.0,19.0,0.0,1,1,12.57512209165214,15.0,0.024216060914993096,15.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_ingredients,0.017533921285509537,0.0035494510382102318,0.023517284215284144,21.0,17.0,23.0,0.0,4,4,9.019896152054951,21.0,0.017533921285509537,21.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_nutrition,0.01943133251044693,0.00352191756618509,0.027974694861726844,19.0,15.0,23.0,0.0,4,4,10.029411962711793,19.0,0.01943133251044693,19.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_warnings,0.02797430293204469,0.01881786115314129,0.03923777592633465,13.0,8.0,18.0,0.0,4,4,14.574691128993338,13.0,0.02797430293204469,13.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_health,0.018913141405728955,0.00485473817873104,0.02490923099810386,20.0,15.0,22.0,0.0,4,4,9.75370888565648,20.0,0.018913141405728955,20.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_brand,0.022775373349515016,0.013813019425151075,0.03309181141990514,15.0,11.0,22.0,0.0,4,4,11.80860566313527,16.0,0.022775373349515016,16.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_discounts,0.017007278871079785,0.003664835756583437,0.025545796618947368,21.0,17.0,22.0,0.0,4,4,8.739696563825536,22.0,0.017007278871079785,22.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,water,0.03908166273783339,0.017310556837678515,0.058213001981389345,7.0,5.0,10.0,0.0,1,1,20.484351191728543,9.0,0.03908166273783339,9.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,soda_frequency,0.05799478603023941,0.05061406660071295,0.0688455384781261,4.0,3.0,5.0,0.2,1,1,30.54706018261482,3.0,0.05799478603023941,3.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,juice_frequency,0.05347714129353373,0.03510877547980167,0.0975791936137459,6.0,3.0,10.0,0.2,1,1,28.14345166133313,4.0,0.05347714129353373,4.0,"Historical 90-term coding, complete cohort"
rf_complete_historical,oil,0.0035212888157001884,0.0,0.008777689293552307,24.0,24.0,25.0,0.0,6,6,1.5644885728873281,24.0,0.0035212888157001884,24.0,"Historical 90-term coding, complete cohort"
