model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic,1,dairy_type,4,6.96717020447768e-05,0.0019121742912769912,1006,2861322.5562906265
spline_logistic,1,dairy_type,5,-7.556772893210773e-05,0.0005573252843475984,1006,2861322.5562906265
spline_logistic,1,wholegrain,1,0.00030148595401166545,0.0009969654247565796,1006,2861322.5562906265
spline_logistic,1,wholegrain,2,0.0002632167330333668,0.002328259914573305,1006,2861322.5562906265
spline_logistic,1,wholegrain,3,0.0003346899790296898,0.0027328438305679326,1006,2861322.5562906265
spline_logistic,1,wholegrain,4,-0.0003947001185913013,-0.00136205218575991,1006,2861322.5562906265
spline_logistic,1,wholegrain,5,0.0004606295433155494,0.004929817644173551,1006,2861322.5562906265
spline_logistic,1,legumes,1,0.0002431062254683869,-0.00030009840328537596,1006,2861322.5562906265
spline_logistic,1,legumes,2,-7.690842075225301e-05,-0.0014026023875233218,1006,2861322.5562906265
spline_logistic,1,legumes,3,-3.5266223378238593e-06,0.0008550005551329898,1006,2861322.5562906265
spline_logistic,1,legumes,4,-0.00029042647853266823,-0.0025740734975369106,1006,2861322.5562906265
spline_logistic,1,legumes,5,0.0002196132260514072,0.002674582817724702,1006,2861322.5562906265
spline_logistic,1,fruit_days,1,-8.980593522833757e-05,-0.0007236748421122208,1006,2861322.5562906265
spline_logistic,1,fruit_days,2,-9.676434829228309e-05,-0.0006489842253039058,1006,2861322.5562906265
spline_logistic,1,fruit_days,3,-0.0004200244190293023,-0.005260509472868158,1006,2861322.5562906265
spline_logistic,1,fruit_days,4,0.0008412645372599115,0.0052709697001611655,1006,2861322.5562906265
spline_logistic,1,fruit_days,5,-0.0012068232578738014,-0.009586296889318446,1006,2861322.5562906265
spline_logistic,1,fruit_portions,1,0.0005835573154841789,0.006968447605654515,1006,2861322.5562906265
spline_logistic,1,fruit_portions,2,-0.00022682236660889754,0.0004749572164253202,1006,2861322.5562906265
spline_logistic,1,fruit_portions,3,0.00042327835299707517,0.005605773982394147,1006,2861322.5562906265
spline_logistic,1,fruit_portions,4,0.0009092733327629443,0.008792094380614013,1006,2861322.5562906265
spline_logistic,1,fruit_portions,5,0.0007526474456532872,0.007535532718066507,1006,2861322.5562906265
spline_logistic,1,vegetable_days,1,-0.0007641863463371534,-0.004802598853608564,1006,2861322.5562906265
spline_logistic,1,vegetable_days,2,-0.00047672401031031986,-0.004989383480232368,1006,2861322.5562906265
spline_logistic,1,vegetable_days,3,-0.0006577865443426756,-0.005912598668599056,1006,2861322.5562906265
spline_logistic,1,vegetable_days,4,-0.0001315924522591605,-0.0008682395549536315,1006,2861322.5562906265
