domain,variable,description,variable_role,kind,units,domain_n,observed_n,missing_n,denominator_n,weighted_denominator,df,confidence,row_type,level,n,unweighted_percent,unweighted_mean,estimate,se,ci_low,ci_high,weighted_sd,ci_method,ci_status
Total,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Never,2298,45.631453534551234,,46.78817351228023,1.3538210344131052,44.143229502470035,49.45129127703009,,logit_t,estimated
Total,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Always,580,24.712398806987643,,23.26809802219902,1.484583676218615,20.482660730082223,26.307009949728887,,logit_t,estimated
No caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Almost always,231,9.842351938645079,,10.698952055199937,1.1867247383632342,8.583420246403856,13.260261082003474,,logit_t,estimated
No caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Sometimes,264,11.248402215594377,,11.18198284890299,1.1518523583829923,9.1134333849759,13.649534866324325,,logit_t,estimated
No caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Rarely,229,9.757136770345122,,10.622201779885764,1.1872071462772047,8.507546487875242,13.186723005904511,,logit_t,estimated
No caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Never,1043,44.43971026842778,,44.22876529381229,1.964042398104868,40.416970501313806,48.109784447363594,,logit_t,estimated
No caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Always,555,20.639642989959093,,19.618896199901506,1.4717375534327977,16.890421346961432,22.667912926697316,,logit_t,estimated
Caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Almost always,218,8.107103012272221,,7.673416424738678,0.8967886482554941,6.088474802668804,9.628645078297039,,logit_t,estimated
Caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Sometimes,278,10.338415767943474,,11.291873090700436,1.1011903227848128,9.304705465599845,13.639607996338368,,logit_t,estimated
Caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Rarely,318,11.825957605057642,,12.384155855810253,1.215119042710269,10.18999487443767,14.972012309135401,,logit_t,estimated
Caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Never,1320,49.08888062476757,,49.03165842884913,1.8222534018102037,45.466984206929844,52.60620732038177,,logit_t,estimated
Caries,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Always,1135,22.537728355837967,,21.274236786461966,1.074980133271,19.241113771342196,23.459784238912704,,logit_t,estimated
Total,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Almost always,449,8.91580619539317,,9.045851321209854,0.747928988651996,7.681521578844475,10.62461436853189,,logit_t,estimated
Total,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Sometimes,542,10.762509928514694,,11.242024990712443,0.8078197014790657,9.751779878500164,12.927384544672277,,logit_t,estimated
Total,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Rarely,547,10.861795075456712,,11.584903242345003,0.9030345249284705,9.927231326170924,13.47795802759757,,logit_t,estimated
Total,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Never,2363,46.922160444797456,,46.852983659270734,1.345803906028428,44.22343792871085,49.500123628798434,,logit_t,estimated
Total,label_nutrition,Frequency of checking/considering package nutrition,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Always,797,33.95824456753302,,34.15331241137222,1.9894126846345657,30.363376332152058,38.15709600624128,,logit_t,estimated
No caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Almost always,244,10.396250532594802,,10.944410500691076,1.2027465096167673,8.797819346929307,13.537011760168543,,logit_t,estimated
No caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Sometimes,253,10.77971878994461,,11.149881026143097,1.1101900534437743,9.150301392948165,13.52138709363635,,logit_t,estimated
No caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Rarely,203,8.649339582445675,,8.574291122358952,1.0480753928492652,6.728852746770385,10.866886892974792,,logit_t,estimated
No caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Never,850,36.21644652748189,,35.178104939434654,1.8869228245131264,31.57026734980512,38.96348233025477,,logit_t,estimated
No caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Always,773,28.746746002231312,,27.621388490758576,1.6474006381975879,24.508227947149475,30.967779674329233,,logit_t,estimated
Caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Almost always,275,10.22685013015991,,10.278158120334213,1.1104446850839023,8.2945932260691,12.67053305751171,,logit_t,estimated
Caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Sometimes,241,8.962439568612867,,9.683110044854876,1.037522391226426,7.829570305097147,11.918707193375456,,logit_t,estimated
Caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Rarely,245,9.111193752324285,,9.055351071449182,0.9764545881027835,7.31313435372905,11.162632059790651,,logit_t,estimated
Caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Never,1155,42.95277054667162,,43.36199227260315,1.7885194851910449,39.89131912167936,46.89902495982507,,logit_t,estimated
Caries,label_warnings,Frequency of checking/considering package warnings,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Always,1570,31.175536139793486,,30.584381304159447,1.3255723666645811,28.046829998153484,33.245440200982706,,logit_t,estimated
Total,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Almost always,519,10.305798252581415,,10.580381636544908,0.8290871193214102,9.060298187977656,12.320942966351883,,logit_t,estimated
Total,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Sometimes,494,9.809372517871326,,10.348462539660671,0.7398103340648907,8.984205583224002,11.892813208627436,,logit_t,estimated
Total,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Rarely,448,8.895949166004765,,8.837134020961027,0.7543604295873159,7.464569620300556,10.433624846906808,,logit_t,estimated
Total,label_warnings,Frequency of checking/considering package warnings,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Never,2005,39.81334392374901,,39.649640498673946,1.3228859900133296,37.085134334593235,42.272332509031656,,logit_t,estimated
Total,label_warnings,Frequency of checking/considering package warnings,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Always,620,26.416702172986792,,23.471301373778033,1.399213193718742,20.837634580698815,26.327134417576975,,logit_t,estimated
No caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Almost always,257,10.950149126544526,,11.288548811600577,1.1899854499581157,9.155690741010714,13.84255579734882,,logit_t,estimated
No caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Sometimes,247,10.524073285044738,,10.634005912171625,1.0906322330728326,8.67579275296575,12.971428609051708,,logit_t,estimated
No caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Rarely,230,9.7997443544951,,11.12160963907191,1.3188996741376247,8.7848135932377,13.984702417889421,,logit_t,estimated
No caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Never,993,42.30933106092885,,43.48453426337785,1.7752775454798266,40.038612183884325,46.99459102091098,,logit_t,estimated
No caries,label_health,Frequency of checking/considering package health,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Always,603,22.424693194496093,,21.453932428988313,1.4939354061536534,18.667854070110206,24.530407471957673,,logit_t,estimated
Caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Almost always,242,8.999628114540721,,9.087328943995477,0.9722010427969628,7.351349199301177,11.183765804803325,,logit_t,estimated
Caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Sometimes,256,9.52026775753068,,10.799785011911718,1.119288986939396,8.791637923234664,13.200239424317978,,logit_t,estimated
Caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Rarely,295,10.970621048716994,,10.581821585246011,1.011150155726512,8.755362144065915,12.736116088137726,,logit_t,estimated
Caries,label_health,Frequency of checking/considering package health,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Never,1293,48.084789884715505,,48.07713202985848,1.8398941948558662,44.48308155952738,51.69119318281581,,logit_t,estimated
Caries,label_health,Frequency of checking/considering package health,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,label_health,Frequency of checking/considering package health,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Always,1223,24.285146942017473,,22.369045611266237,1.0217652063738931,20.428173427092702,24.437686829332577,,logit_t,estimated
Total,label_health,Frequency of checking/considering package health,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Almost always,499,9.908657664813344,,10.085840060734938,0.7617220509998157,8.686392069376804,11.681906647815557,,logit_t,estimated
Total,label_health,Frequency of checking/considering package health,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Sometimes,503,9.988085782366959,,10.724584766606991,0.7926465118126358,9.265524069414328,12.382052389850259,,logit_t,estimated
Total,label_health,Frequency of checking/considering package health,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Rarely,525,10.424940428911835,,10.82667871213299,0.8845483255849536,9.209248768232813,12.68847917541093,,logit_t,estimated
Total,label_health,Frequency of checking/considering package health,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Never,2286,45.393169181890386,,45.99385084925884,1.3353668263204563,43.38697887599824,48.6228293671929,,logit_t,estimated
Total,label_health,Frequency of checking/considering package health,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Always,838,35.70515551768215,,36.10873379085345,1.8362890728962842,32.58901595025701,39.784243017792036,,logit_t,estimated
No caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Almost always,281,11.972731146144014,,14.694537099989688,1.4445043477134107,12.07993833833485,17.760724367057264,,logit_t,estimated
No caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Sometimes,250,10.651896037494675,,10.061235222214233,1.1248887115151656,8.058925014214195,12.493435121643534,,logit_t,estimated
No caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Rarely,199,8.478909245845761,,8.514347337813351,1.085979369685039,6.611241105811856,10.901331952050281,,logit_t,estimated
No caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Never,779,33.191308052833406,,30.62114654912928,1.6932682466098956,27.402657010258952,34.04040356250981,,logit_t,estimated
No caries,label_brand,Frequency of checking/considering package brand,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Always,863,32.093715135738194,,35.083628207692,1.7971274209297456,31.643560263057697,38.68602395035938,,logit_t,estimated
Caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Almost always,295,10.970621048716994,,11.145734610888578,1.1315760774057364,9.1110773477787,13.566941103778953,,logit_t,estimated
Caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Sometimes,269,10.003718854592785,,9.293573596871644,0.9896165708650573,7.525330676094005,11.425967548342882,,logit_t,estimated
Caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Rarely,252,9.371513573819264,,8.718444527668904,0.9395198877273422,7.042628718145101,10.746924191150503,,logit_t,estimated
Caries,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Never,1010,37.560431387132766,,35.75861905687887,1.6323145362896923,32.622974184769184,39.02110564176835,,logit_t,estimated
Caries,label_brand,Frequency of checking/considering package brand,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Always,1701,33.77680698967434,,35.54863369654943,1.327777703455345,32.9880575679062,38.19468089548115,,logit_t,estimated
Total,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Almost always,576,11.437648927720414,,12.75553233651761,0.9087547593325052,11.076156063072741,14.647594509321493,,logit_t,estimated
Total,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Sometimes,519,10.305798252581415,,9.641798087336934,0.7208027070424925,8.317114091182768,11.151804168502668,,logit_t,estimated
Total,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Rarely,451,8.955520254169976,,8.625862538942908,0.7323963422668063,7.292971408474188,10.175619656274474,,logit_t,estimated
Total,label_brand,Frequency of checking/considering package brand,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Never,1789,35.524225575853855,,33.42817334065312,1.1971045530408408,31.12165865883488,35.81674035126078,,logit_t,estimated
Total,label_brand,Frequency of checking/considering package brand,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Always,989,42.13890072432893,,42.737971888693934,1.8898758919249483,39.07687860174981,46.48037990413083,,logit_t,estimated
No caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Almost always,282,12.015338730293992,,15.048316862650267,1.3760076970420223,12.542550573822151,17.95193166408876,,logit_t,estimated
No caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Sometimes,241,10.268427780144865,,10.036019937081104,1.1758465713624267,7.952807530105304,12.590283155471083,,logit_t,estimated
No caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Rarely,171,7.285896889646357,,6.451245995930514,0.9815843876509772,4.772668853494454,8.666460997201481,,logit_t,estimated
No caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Never,664,28.291435875585854,,25.726445315644174,1.6920994940113372,22.548194279418514,29.18388111005566,,logit_t,estimated
No caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Always,1152,42.84120490888806,,43.93864173280028,1.7848990652805234,40.47196282454878,47.465492074301515,,logit_t,estimated
Caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Almost always,315,11.71439196727408,,14.523459465273666,1.3005281498718202,12.15274955290559,17.265743139195838,,logit_t,estimated
Caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Sometimes,230,8.553365563406471,,7.8786109157916675,0.8737469079396366,6.325830677047023,9.772781881096954,,logit_t,estimated
Caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Rarely,198,7.363332093715136,,5.751948425071989,0.7487058290561298,4.447238572261075,7.409745596427718,,logit_t,estimated
Caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Never,794,29.527705466716252,,27.907339461062403,1.5915958135510466,24.893653318145372,31.134627064477726,,logit_t,estimated
Caries,label_discounts,Frequency of checking/considering package discounts,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Always,2141,42.51389992057188,,43.39399728154953,1.3019904710501542,40.85888691077724,45.96415320732581,,logit_t,estimated
Total,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Almost always,597,11.854646544876886,,14.761543790104728,0.9892739350281543,12.923900628187296,16.81003782386717,,logit_t,estimated
Total,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Sometimes,471,9.352660841938047,,8.857248680612154,0.704961462295721,7.567993053744036,10.34156401219567,,logit_t,estimated
Total,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Rarely,369,7.32724384432089,,6.069161806927766,0.6060783814214555,4.983338779399896,7.373216293751403,,logit_t,estimated
Total,label_discounts,Frequency of checking/considering package discounts,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Never,1458,28.951548848292294,,26.91804844080582,1.1277222632462967,24.763405144681965,29.187436524714144,,logit_t,estimated
Total,label_discounts,Frequency of checking/considering package discounts,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,water,Self-reported glasses of water per day; water source/fluoride exposure not identified,primary,numeric,glasses/day,2347,2346,1,2346,6254150.536240101,1045,0.95,mean,Mean,2346,,4.27152600170503,4.306777469196116,0.11512348554515418,4.08087794227374,4.532676996118492,3.1650830744221006,linearized_t,estimated
No caries,water,Self-reported glasses of water per day; water source/fluoride exposure not identified,primary,numeric,count,2347,2346,1,2347,6258645.299423695,1045,0.95,missing,Missing,1,0.04260758414997869,,,,,,,not_applicable_missing_count,not_applicable
Caries,water,Self-reported glasses of water per day; water source/fluoride exposure not identified,primary,numeric,glasses/day,2689,2686,3,2686,7532494.698019981,1045,0.95,mean,Mean,2686,,4.100148920327625,4.131689300223626,0.10994801804628879,3.915945265502164,4.347433334945088,3.2566206853524804,linearized_t,estimated
Caries,water,Self-reported glasses of water per day; water source/fluoride exposure not identified,primary,numeric,count,2689,2686,3,2689,7538551.493308067,1045,0.95,missing,Missing,3,0.11156563778356267,,,,,,,not_applicable_missing_count,not_applicable
Total,water,Self-reported glasses of water per day; water source/fluoride exposure not identified,primary,numeric,glasses/day,5036,5032,4,5032,13786645.234260082,1045,0.95,mean,Mean,5032,,4.180047694753577,4.211116002460616,0.08424733881264328,4.045802783423475,4.376429221497758,3.2165999629562196,linearized_t,estimated
Total,water,Self-reported glasses of water per day; water source/fluoride exposure not identified,primary,numeric,count,5036,5032,4,5036,13797196.792731762,1045,0.95,missing,Missing,4,0.07942811755361398,,,,,,,not_applicable_missing_count,not_applicable
No caries,soda_frequency,Sugar-sweetened soda consumption frequency converted to times/day,primary,numeric,times/day,2347,2347,0,2347,6258645.299423695,1045,0.95,mean,Mean,2347,,0.7324223426055553,0.7279679928112116,0.05351493694701539,0.6229590202078764,0.8329769654145468,1.7236115784470265,linearized_t,estimated
No caries,soda_frequency,Sugar-sweetened soda consumption frequency converted to times/day,primary,numeric,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,soda_frequency,Sugar-sweetened soda consumption frequency converted to times/day,primary,numeric,times/day,2689,2689,0,2689,7538551.493308067,1045,0.95,mean,Mean,2689,,0.7653314207795427,0.9094015105763148,0.07402095855754993,0.7641548700554037,1.0546481510972259,2.059448903048396,linearized_t,estimated
Caries,soda_frequency,Sugar-sweetened soda consumption frequency converted to times/day,primary,numeric,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,soda_frequency,Sugar-sweetened soda consumption frequency converted to times/day,primary,numeric,times/day,5036,5036,0,5036,13797196.792731762,1045,0.95,mean,Mean,5036,,0.749994326563032,0.8271001525412788,0.04907792469803381,0.7307976481555045,0.923402656927053,1.9165518784381401,linearized_t,estimated
Total,soda_frequency,Sugar-sweetened soda consumption frequency converted to times/day,primary,numeric,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,juice_frequency,Sugar-sweetened juice consumption frequency converted to times/day,primary,numeric,times/day,2347,2347,0,2347,6258645.299423695,1045,0.95,mean,Mean,2347,,0.5999391320226429,0.6287186812261528,0.053341840243155546,0.524049365325606,0.7333879971266997,1.8444523900783067,linearized_t,estimated
No caries,juice_frequency,Sugar-sweetened juice consumption frequency converted to times/day,primary,numeric,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,juice_frequency,Sugar-sweetened juice consumption frequency converted to times/day,primary,numeric,times/day,2689,2689,0,2689,7538551.493308067,1045,0.95,mean,Mean,2689,,0.6407002071933273,0.6968074370293503,0.05956613408276259,0.5799245834033356,0.813690290655365,1.8958646194928082,linearized_t,estimated
Caries,juice_frequency,Sugar-sweetened juice consumption frequency converted to times/day,primary,numeric,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,juice_frequency,Sugar-sweetened juice consumption frequency converted to times/day,primary,numeric,times/day,5036,5036,0,5036,13797196.792731762,1045,0.95,mean,Mean,5036,,0.6217037331215249,0.6659212086270868,0.04033340138787672,0.5867775286946548,0.7450648885595188,1.873024829285983,linearized_t,estimated
Total,juice_frequency,Sugar-sweetened juice consumption frequency converted to times/day,primary,numeric,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,oil,Most frequently used cooking oil/fat,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,None,11,0.4686834256497657,,0.4030513440852336,0.21113831268130012,0.1439671388850977,1.123140989674,,logit_t,estimated
No caries,oil,Most frequently used cooking oil/fat,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Vegetable oil,2080,88.62377503195569,,91.12066940991322,0.9855938844623027,88.98714384607226,92.87396522577039,,logit_t,estimated
No caries,oil,Most frequently used cooking oil/fat,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Olive oil,222,9.458883681295271,,7.649993907934433,0.9416648768016354,5.994967658273849,9.714704689505599,,logit_t,estimated
No caries,oil,Most frequently used cooking oil/fat,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Lard,2,0.08521516829995739,,0.028640122380169997,0.023981879207459224,0.005537178608725389,0.14799353867863102,,logit_t,estimated
No caries,oil,Most frequently used cooking oil/fat,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Butter,14,0.5965061780997017,,0.4793736954246912,0.2597791715417472,0.16519843546095062,1.3827733848508035,,logit_t,estimated
No caries,oil,Most frequently used cooking oil/fat,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Margarine,17,0.7243289305496379,,0.3162859339346368,0.10014177356683124,0.16984126269148625,0.5882576342816831,,logit_t,estimated
No caries,oil,Most frequently used cooking oil/fat,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Other,1,0.04260758414997869,,0.001985586327608784,0.0020213588369213608,0.0002693626193108456,0.014635000248099285,,logit_t,estimated
No caries,oil,Most frequently used cooking oil/fat,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
