domain,variable,description,variable_role,kind,units,domain_n,observed_n,missing_n,denominator_n,weighted_denominator,df,confidence,row_type,level,n,unweighted_percent,unweighted_mean,estimate,se,ci_low,ci_high,weighted_sd,ci_method,ci_status
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,06 Valparaiso,532,10.563939634630659,,10.382899522384673,0.7760532271582922,8.955809933063472,12.007401615198383,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,07 Metropolitan,771,15.309769658459095,,40.96049373931438,1.7838006159774085,37.51140140326647,44.500875770036636,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,08 O'Higgins,254,5.043685464654487,,4.866122131813986,0.6383059808629994,3.7559465110372523,6.283019455167549,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,09 Maule,307,6.096108022239873,,5.819121966659945,0.6754308541348388,4.626946870826904,7.2949764071604335,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,10 Biobio,548,10.881652104845115,,11.7761511076459,1.0113832528305078,9.931844452182425,13.910046217152205,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,11 La Araucania,241,4.7855440826052424,,5.275864232477197,0.5029952425114108,4.371671953875155,6.354643116700073,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,12 Los Rios,254,5.043685464654487,,2.2178387703863107,0.2507332844922097,1.775668051961358,2.7670155343275016,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,13 Los Lagos,264,5.242255758538523,,4.5309481306821455,0.5187971384885464,3.6151637625974584,5.665081711149451,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,14 Aysen,275,5.460683081810961,,0.5781050727469663,0.06638723691877021,0.4614082238930453,0.7241015471046216,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,15 Magallanes and Antarctica,246,4.884829229547259,,0.9122803678163457,0.07767983840826746,0.7718135509358057,1.0780338178422912,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,rural,Urban/rural residence,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Urban,2018,85.982104814657,,90.12113595354607,1.088847253156061,87.76939949683697,92.06157325564696,,logit_t,estimated
No caries,rural,Urban/rural residence,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Rural,329,14.017895185342992,,9.878864046453927,1.088847253156061,7.93842674435304,12.230600503163034,,logit_t,estimated
